#: table_doi: 10.17182/hepdata.132661.v2/t4
#: name: Table 4
#: description: Net-proton cumulant ratios C4/C2, C5/C1, C6/C2 (0-40$\%$ and 50-60$\%$ centrality) and C3/C1 (0-40$\%$ centrality) in Au+Au collisions from $\sqrt{s_{NN}}$ = 3 - 200 GeV. At $\sqrt{s_{NN}}$ = 3 GeV, measurement is done for protons instead of net-protons, and with halfrapdity coverage (-0.5 $<$ y $<$ 0) while for rest of energies the rapidity coverage is (-0.5 $<$ y $<$ -0.5).
#: data_file: Table4.yaml
#: keyword observables: Net-proton cumulant ratios
#: keyword phrases: Net-proton cumulant ratios | Energy dependence
#: CENTRALITY,0-40$\%$
$\sqrt{s_{NN}}$ [$(GeV)$],Netproton C4/C2,stat. +,stat. -,syst. +,syst. -
3.0,4.442,0.022,-0.022,0.21,-0.21
7.7,1.25,0.22,-0.22,0.2,-0.2
11.5,0.77,0.11,-0.11,0.11,-0.11
14.5,0.81,0.07,-0.07,0.07,-0.07
19.6,0.56,0.06,-0.06,0.06,-0.06
27.0,0.58,0.04,-0.04,0.05,-0.05
39.0,0.719,0.029,-0.029,0.028,-0.028
54.4,0.654,0.011,-0.011,0.025,-0.025
62.4,0.762,0.05,-0.05,0.034,-0.034
200,0.823,0.04,-0.04,0.025,-0.025

#: CENTRALITY,50-60$\%$
$\sqrt{s_{NN}}$ [$(GeV)$],Netproton C4/C2,stat. +,stat. -,syst. +,syst. -
3.0,5.72,0.04,-0.04,0.5,-0.5
7.7,1.05,0.09,-0.09,0.06,-0.06
11.5,0.774,0.05,-0.05,0.031,-0.031
14.5,0.867,0.031,-0.031,0.019,-0.019
19.6,0.736,0.024,-0.024,0.016,-0.016
27.0,0.776,0.016,-0.016,0.014,-0.014
39.0,0.751,0.01,-0.01,0.012,-0.012
54.4,0.748,0.004,-0.004,0.013,-0.013
62.4,0.739,0.015,-0.015,0.016,-0.016
200,0.739,0.008,-0.008,0.016,-0.016

#: CENTRALITY,0-40$\%$
$\sqrt{s_{NN}}$ [$(GeV)$],Netproton C5/C1,stat. +,stat. -,syst. +,syst. -
3.0,20.4,0.5,-0.5,2.3,-2.3
7.7,-5.2,3.1,-3.1,3,-3
11.5,1.1,1.5,-1.5,1.6,-1.6
14.5,1.9,1,-1,0.9,-0.9
19.6,-0.4,0.9,-0.9,1.1,-1.1
27.0,-1.2,0.8,-0.8,1.4,-1.4
39.0,-0.4,0.6,-0.6,0.8,-0.8
54.4,0.9,0.29,-0.29,0.28,-0.28
62.4,2,1.5,-1.5,3.1,-3.1
200,-0.4,1.6,-1.6,2,-2

#: CENTRALITY,50-60$\%$
$\sqrt{s_{NN}}$ [$(GeV)$],Netproton C5/C1,stat. +,stat. -,syst. +,syst. -
3.0,33,0.5,-0.5,6,-6
7.7,1.2,0.6,-0.6,0.5,-0.5
11.5,0.17,0.27,-0.27,0.23,-0.23
14.5,0.95,0.2,-0.2,0.1,-0.1
19.6,0.32,0.15,-0.15,0.08,-0.08
27.0,0.64,0.13,-0.13,0.08,-0.08
39.0,0.45,0.1,-0.1,0.11,-0.11
54.4,0.19,0.05,-0.05,0.05,-0.05
62.4,0.18,0.22,-0.22,0.13,-0.13
200,0.1,0.21,-0.21,0.12,-0.12

#: CENTRALITY,0-40$\%$
$\sqrt{s_{NN}}$ [$(GeV)$],Netproton C6/C2,stat. +,stat. -,syst. +,syst. -
3.0,57,9,-9,40,-40
7.7,-160,50,-50,80,-80
11.5,-59,25,-25,32,-32
14.5,-18,15,-15,18,-18
19.6,-24,12,-12,16,-16
27.0,-2,10,-10,10,-10
39.0,-11,5,-5,8,-8
54.4,2.3,1.9,-1.9,1.1,-1.1
62.4,1,9,-9,13,-13
200,-5,4,-4,4,-4

#: CENTRALITY,50-60$\%$
$\sqrt{s_{NN}}$ [$(GeV)$],Netproton C6/C2,stat. +,stat. -,syst. +,syst. -
3.0,116,6,-6,24,-24
7.7,2.1,4,-4,2.9,-2.9
11.5,-0.6,1.9,-1.9,1.1,-1.1
14.5,2.5,1.2,-1.2,0.8,-0.8
19.6,-0.33,0.7,-0.7,0.35,-0.35
27.0,1.23,0.5,-0.5,0.35,-0.35
39.0,0.41,0.31,-0.31,0.28,-0.28
54.4,-0.12,0.1,-0.1,0.08,-0.08
62.4,-0.42,0.4,-0.4,0.23,-0.23
200,-0.22,0.14,-0.14,0.11,-0.11

#: CENTRALITY,0-40$\%$
$\sqrt{s_{NN}}$ [$(GeV)$],Netproton C3/C1,stat. +,stat. -,syst. +,syst. -
3.0,2.7878,0.0026,-0.0026,0.11,-0.11
7.7,0.86,0.017,-0.017,0.013,-0.013
11.5,0.811,0.01,-0.01,0.017,-0.017
14.5,0.822,0.007,-0.007,0.01,-0.01
19.6,0.771,0.007,-0.007,0.01,-0.01
27.0,0.776,0.006,-0.006,0.01,-0.01
39.0,0.775,0.005,-0.005,0.012,-0.012
54.4,0.7693,0.0023,-0.0023,0.012,-0.012
62.4,0.798,0.011,-0.011,0.014,-0.014
200,0.861,0.019,-0.019,0.05,-0.05

