T_mu,sigma,omega,n_B,P,epsilon
"(0.0, 500.0)",92.99999999967689,0.0,0.0,3.971889227456797e-12,-3.971889227456797e-12
"(1.2121212121212122, 500.0)",92.99999999967689,6.530988021511102e-159,6.532554242324809e-161,3.971889227456797e-12,-3.971889227456797e-12
"(2.4242424242424243, 500.0)",92.99999999967689,8.155428449769376e-80,8.157384139972488e-82,3.971889227456797e-12,-3.971889227456797e-12
"(3.6363636363636367, 500.0)",92.99999999967689,2.4676746994094863e-53,2.4682664482163936e-55,3.971889227456797e-12,-3.971889227456797e-12
"(4.848484848484849, 500.0)",92.99999999967689,4.874574864285523e-40,4.8757437846051816e-42,3.971889227456797e-12,-3.971889227456797e-12
"(6.0606060606060606, 500.0)",92.99999999967689,5.000174587346916e-32,5.001373624731991e-34,3.971889227456797e-12,-3.971889227456797e-12
"(7.272727272727273, 500.0)",92.99999999966936,1.1533555385787522e-26,1.15363211199389e-28,3.971889227456797e-12,-3.971889227456739e-12
"(8.484848484848484, 500.0)",92.99999999966246,8.098506409558041e-23,8.100448421783448e-25,0.0,4.050224210891724e-22
"(9.696969696969697, 500.0)",92.9999999997965,6.384048931781827e-20,6.385579818045442e-22,1.5887556909827188e-11,-1.5887556590548196e-11
"(10.90909090909091, 500.0)",92.99999999968851,1.1678968099075342e-17,1.1681768700375748e-19,3.971889227456797e-12,-3.971830818613295e-12
"(12.121212121212121, 500.0)",92.99999998637975,7.669502761004306e-16,7.671341941136772e-18,7.943778454913594e-12,-7.939942783943025e-12
"(13.333333333333332, 500.0)",92.99999998637843,2.3870344927349193e-14,2.3876069115253533e-16,3.971889227456797e-12,-3.852508881880529e-12
"(14.545454545454547, 500.0)",92.99999998640182,4.238607857679015e-13,4.239624286581e-15,3.971889227456797e-12,-1.8520770841662968e-12
"(15.75757575757576, 500.0)",92.99999999964407,4.883176359577233e-12,4.884347338432513e-14,8.688507685061743e-12,1.573322900710082e-11
"(16.96969696969697, 500.0)",92.99999998612101,4.00173391205782e-11,4.002693533622048e-13,1.0798573837148167e-11,1.8933610284395423e-10
"(18.181818181818183, 500.0)",92.9999999847697,2.4957921244041357e-10,2.4963906179872015e-12,4.542848303903712e-11,1.2027668259545635e-9
"(19.393939393939394, 500.0)",92.99999999149883,1.2463202588192206e-9,1.2466191246362343e-11,2.457606459488893e-10,5.9873349772322815e-9
"(20.606060606060606, 500.0)",92.99999996597523,5.1807910110783735e-9,5.182033357214915e-11,1.0678175944940881e-9,2.484234919158049e-8
"(21.81818181818182, 500.0)",92.99999986597834,1.847808571924913e-8,1.8482516768941707e-10,4.036556548941328e-9,8.837602729576722e-8
"(23.030303030303028, 500.0)",92.99999960959565,5.791692896610923e-8,5.793081744980387e-10,1.3345671925793196e-8,2.763084153232261e-7
"(24.242424242424242, 500.0)",92.99999893035644,1.6261673314523877e-7,1.6265572862380274e-9,3.9435646924034955e-8,7.738429961949788e-7
