T_mu,sigma,ω₀,n_B,P,e
"(1, 990.0189712114653)",58.705564714461104,29.220911981017903,0.35817798585879307,18.19921412129846,336.4037869492186
"(2, 990.0189712114653)",58.70457721389932,29.226332336918162,0.35824442636414794,18.23502082175899,336.4337576095163
"(3, 990.0189712114653)",58.70291395542794,29.235386178108254,0.358355404645881,18.29466743212603,336.48398160345744
"(4, 990.0189712114653)",58.70054817889725,29.24810417608893,0.3585112966626425,18.378106572045525,336.5548785175922
"(5, 990.0189712114653)",58.6974409612284,29.26453114965667,0.3587126517849538,18.48527071162911,336.6470597690475
"(6, 990.0189712114653)",58.69353911241412,29.284728796840326,0.3589602262820203,18.61607063471031,336.7613632948502
"(7, 990.0189712114653)",58.68877191673252,29.308779913884685,0.3592550350538493,18.770392953946864,336.8989072526039
"(8, 990.0189712114653)",58.68304815466868,29.336792141481084,0.3595983975150734,18.948096895179436,337.06113866198507
"(9, 990.0189712114653)",58.6762558178457,29.368898031549172,0.35999193833053256,19.149011431313767,337.2498369991014
"(10, 990.0189712114653)",58.668265643385546,29.405250033309486,0.36043752629783776,19.372934046688002,337.46705492470284
"(11, 990.0189712114653)",58.65893759183752,29.44601169480882,0.3609371660703962,19.61963178601887,337.71501003897663
"(12, 990.0189712114653)",58.64812853050977,29.49134746658055,0.3614928734155617,19.88884444149351,337.9959581976574
"(13, 990.0189712114653)",58.63569952507384,29.541413239983868,0.3621065591858729,20.180289247998292,338.3120739461232
"(14, 990.0189712114653)",58.621521802344745,29.596348820386684,0.3627799370583096,20.49366634202368,338.6653537206041
"(15, 990.0189712114653)",58.60548103524792,29.656272733003195,0.3635144598664872,20.828664350427402,339.0575472270838
"(16, 990.0189712114653)",58.58747999182329,29.721279239748586,0.36431128303440113,21.18496566538137,339.4901159650654
"(17, 990.0189712114653)",58.567439783397305,29.79143719956034,0.36517125060671396,21.562251145851903,339.9642146958112
"(18, 990.0189712114653)",58.54530000789142,29.866790338173576,0.3660948985556263,21.960204129896592,340.48069070391034
"(19, 990.0189712114653)",58.52101807346429,29.947358521739076,0.36708247039228015,22.37851374036532,341.040095947163
"(20, 990.0189712114653)",58.49456794672696,30.03313969547035,0.3681339409299525,22.81687752660252,341.6427079408914
"(21, 990.0189712114653)",58.465938521891545,30.12411222234145,0.3692490449508118,23.275003516263123,342.2885560867557
"(22, 990.0189712114653)",58.435131763039536,30.220237423840555,0.3704273083393836,23.75261176376607,342.97745094702276
"(23, 990.0189712114653)",58.40216074210625,30.321462173517965,0.3716680799157969,24.249435482219223,343.70901462815874
"(24, 990.0189712114653)",58.36704764534602,30.42772145300022,0.3729705626987886,24.765221839192826,344.4827109360231
"(25, 990.0189712114653)",58.32982183761382,30.538940781885074,0.3743338437380613,25.299732486760785,345.2978743804281
"(26, 990.0189712114653)",58.29051801670726,30.655038487217,0.375756921919963,25.852743885219464,346.15373737956924
"(27, 990.0189712114653)",58.24917450151083,30.77592777652829,0.37723873337795577,26.42404746891964,347.0494552510404
"(28, 990.0189712114653)",58.20583167788306,30.90151859822009,0.3787781742964153,27.0134496928143,347.9841287414799
"(29, 990.0189712114653)",58.16053061834426,31.031719281992263,0.380374121018338,27.62077198962569,348.9568239764147
"(30, 990.0189712114653)",58.11331188369559,31.1664379596683,0.38202544746122785,28.24585066027675,349.9665898118878
"(31, 990.0189712114653)",58.06421450845712,31.3055837724548,0.3837310399152028,28.888536714620248,351.0124726441346
"(32, 990.0189712114653)",58.01327516622155,31.449067875085603,0.3854898093513591,29.548695674540284,352.0935287919962
"(33, 990.0189712114653)",57.96052750715853,31.596804250288653,0.38730070140518735,30.22620734837147,353.208834606271
"(34, 990.0189712114653)",57.90600165635824,31.748710349199076,0.38916270422649035,30.920965582715922,354.3574944894658
"(35, 990.0189712114653)",57.849723859530314,31.904707574524675,0.3910748544018264,31.632877995999248,355.5386470255705
"(36, 990.0189712114653)",57.791716260986284,32.064721623868465,0.3930362411628214,32.36186569671689,356.7514694281209
"(37, 990.0189712114653)",57.73199679816907,32.22868271053289,0.39504600909269044,33.10786298850807,357.99518051463247
"(38, 990.0189712114653)",57.670579196753955,32.39652567871146,0.39710335953750775,33.87081706363218,359.2690424103078
"(39, 990.0189712114653)",57.60747305109006,32.56819002881486,0.3992075509201915,34.6506876860571,360.57236117579953
"(40, 990.0189712114653)",57.54268397176897,32.74361987054983,0.4013578981321887,35.44744686525411,361.9044865311715
"(41, 990.0189712114653)",57.476213805487774,32.92276380290024,0.40355377119938346,36.2610785217018,363.2648108696189
"(42, 990.0189712114653)",57.4080608609828,33.10557477415917,0.4057945933042188,37.091578145094786,364.65276764112286
"(43, 990.0189712114653)",57.33822021742145,33.292009866510845,0.4080798384025067,37.938952446221315,366.06782934116944
"(44, 990.0189712114653)",57.26668401337106,33.482030083927114,0.41040902846344,38.803219003610295,367.5095051316616
"(45, 990.0189712114653)",57.193441795918666,33.675600088014235,0.4127817304250085,39.68440590594576,368.9773381843096
"(46, 990.0189712114653)",57.118480796274085,33.87268797549335,0.41519755312805917,40.582551391312414,370.47090300604646
"(47, 990.0189712114653)",57.04178631051799,34.07326497833224,0.41765614398041584,41.497703484327346,371.9898024993116
"(48, 990.0189712114653)",56.96334199789392,34.27730521472603,0.42015718573237026,42.42991963219243,373.53366513367337
"(49, 990.0189712114653)",56.88313020277092,34.4847854204235,0.4227003932216689,43.37926634060419,375.1021420873943
"(50, 990.0189712114653)",56.801132259876084,34.695684688936716,0.4252855101839596,44.34581881048401,376.6949044529829
"(51, 990.0189712114653)",56.71732894232915,34.909983989861985,0.4279123104933987,45.3296605763701,378.3116448270256
"(52, 990.0189712114653)",56.63170001659292,35.12766698324296,0.43058057517906934,46.330883147243675,379.95205491517953
"(53, 990.0189712114653)",56.54422579515229,35.348717898426955,0.4332901251969458,47.349585650523764,381.61585833304355
"(54, 990.0189712114653)",56.45488629006487,35.57312290012066,0.43604078884891845,48.385874479822895,383.30277870261915
"(55, 990.0189712114653)",56.36366186328455,35.800869263018974,0.438832410772522,49.43986294701433,385.01254890024506
"(56, 990.0189712114653)",56.27053333218557,36.0319453306762,0.44166484651527516,50.51167093910443,386.74490602821805
"(57, 990.0189712114653)",56.1754822486211,36.266340196285576,0.4445379628968371,51.601424580251994,388.4995921113152
"(58, 990.0189712114653)",56.078491025087295,36.504043613010744,0.4474516341420824,52.70925589928919,390.27635060094417
