T_mu,sigma,ω₀,n_B,P,e
"(1, 110.1118481127528)",92.99999999490393,0.0,0.0,1.9859446137283985e-12,-1.9859446137283985e-12
"(2, 110.1118481127528)",92.99999999490393,1.8327094605908696e-121,2.7589127272417156e-183,1.9859446137283985e-12,-1.9859446137283985e-12
"(3, 110.1118481127528)",92.99999999490393,2.7665120318559077e-91,5.042719656604718e-123,1.9859446137283985e-12,-1.9859446137283985e-12
"(4, 110.1118481127528)",92.99999999490393,3.825694470757953e-73,7.751744402207494e-93,1.9859446137283985e-12,-1.9859446137283985e-12
"(5, 110.1118481127528)",92.99999999490393,4.997994422445915e-61,1.0831910022417653e-74,1.9859446137283985e-12,-1.9859446137283985e-12
"(6, 110.1118481127528)",92.99999999490393,2.338902008709217e-52,1.4247021085759791e-62,1.9859446137283985e-12,-1.9859446137283985e-12
"(7, 110.1118481127528)",92.99999999490393,5.978039598309194e-46,6.698765425021716e-54,1.9859446137283985e-12,-1.9859446137283985e-12
"(8, 110.1118481127528)",92.99999999490393,7.143248989739463e-41,2.1982899233506966e-47,1.9859446137283985e-12,-1.9859446137283985e-12
"(9, 110.1118481127528)",92.99999999490393,8.379796096927705e-37,2.6267388695614698e-42,1.9859446137283985e-12,-1.9859446137283985e-12
"(10, 110.1118481127528)",92.99999999490393,1.8154003648636113e-33,3.0811058564070073e-38,1.9859446137283985e-12,-1.9859446137283985e-12
"(11, 110.1118481127528)",92.99999999490393,1.1075636346677699e-30,6.671335191344705e-35,1.9859446137283985e-12,-1.9859446137283985e-12
"(12, 110.1118481127528)",92.99999999490393,2.5503238312439047e-28,4.0633591637617245e-32,1.9859446137283985e-12,-1.9859446137283985e-12
"(13, 110.1118481127528)",92.99999999490393,2.733287824193257e-26,9.320906305262941e-30,1.9859446137283985e-12,-1.9859446137283973e-12
"(14, 110.1118481127528)",92.99999999490393,1.5901780886003689e-24,9.919974710710052e-28,1.9859446137283985e-12,-1.9859446137282895e-12
"(15, 110.1118481127528)",92.99999999490393,5.635247323267626e-23,5.708303669019753e-26,1.9859446137283985e-12,-1.985944613722113e-12
"(16, 110.1118481127528)",92.99999999490393,1.3280671848685768e-21,1.9921683109516034e-24,1.9859446137283985e-12,-1.985944613509037e-12
"(17, 110.1118481127528)",92.99999999490393,2.2278506357445403e-20,4.6039708362429423e-23,1.9859446137283985e-12,-1.985944608658881e-12
"(18, 110.1118481127528)",92.99999999490393,2.8060638830468757e-19,7.544463541535883e-22,1.9859446137283985e-12,-1.985944530654916e-12
"(19, 110.1118481127528)",92.99999999490393,2.768978992931334e-18,9.252861085115795e-21,1.9859446137283985e-12,-1.985943594878764e-12
"(20, 110.1118481127528)",92.99999999490393,2.2153881475761903e-17,8.868634480470263e-20,1.9859446137283985e-12,-1.9859348483110694e-12
"(21, 110.1118481127528)",92.99999999490393,1.4779279334805922e-16,6.879916953254002e-19,1.9859446137283985e-12,-1.9858688576913403e-12
"(22, 110.1118481127528)",92.99999999961834,8.363492911886727e-16,4.445384452123046e-18,3.971889227456797e-12,-3.971399737959202e-12
"(23, 110.1118481127528)",92.99999999978321,4.138718715596476e-15,2.449791442189412e-17,3.971889227456797e-12,-3.969191716824894e-12
"(24, 110.1118481127528)",92.99999999989649,1.8236259342632616e-14,1.1744262114769461e-16,-3.971889227456797e-12,3.984821051518575e-12
"(25, 110.1118481127528)",92.99999999284562,7.112860093761835e-14,4.97981396710178e-16,0.0,5.4833651917527606e-14
"(26, 110.1118481127528)",92.99999999284891,2.5486702997867515e-13,1.894081885626781e-15,-5.9578338411851955e-12,6.166394698088447e-12
"(27, 110.1118481127528)",92.99999999283389,8.320530113508227e-13,6.540157054334349e-15,1.241215383580249e-13,5.960272418423877e-13
"(28, 110.1118481127528)",92.99999756935951,2.5096561583093793e-12,2.0713142307785344e-14,-7.32317076312347e-12,9.603933142856163e-12
"(29, 110.1118481127528)",92.9999993146797,7.050510024014344e-12,6.070467920551891e-14,-2.482430767160498e-13,6.9325474931275316e-12
"(30, 110.1118481127528)",92.9999999927988,1.857323305061221e-11,1.6590379340399132e-13,2.9789169205925978e-12,1.5289056380037212e-11
"(31, 110.1118481127528)",92.99999843969466,4.5810930641957614e-11,4.2565556373343215e-13,1.315688306595064e-11,3.371283771621321e-11
"(32, 110.1118481127528)",92.99999999971078,1.0780906990417325e-10,1.0312764723183406e-12,3.500227381696302e-11,7.855348446520963e-11
"(33, 110.1118481127528)",92.99999843926369,2.4185515922355733e-10,2.3716312138433817e-12,8.043075685600014e-11,1.8071393914218585e-10
"(34, 110.1118481127528)",92.99999999155409,5.189457303028497e-10,5.200575039401248e-12,1.7736967831361758e-10,3.952752505239061e-10
