T_mu,sigma,ω₀,n_B,P,e
"(17, 915.0071142042996)",72.48565191410526,12.20654817578337,0.14962287428710516,1.221252460464034,135.68474195993278
"(18, 915.0071142042996)",72.05618707253448,12.593837140468265,0.15437010399048426,1.4939533988480498,139.75578997290256
"(19, 915.0071142042996)",71.65437582780264,12.965557229577282,0.1589264967857135,1.7818513166969632,143.63702387779765
"(20, 915.0071142042996)",71.27514934191863,13.325061477189827,0.1633331527929323,2.0848086193169957,147.36618817163392
"(21, 915.0071142042996)",70.91487232476945,13.674730194869259,0.16761924889758534,2.402711013310178,150.97009420556162
"(22, 915.0071142042996)",70.570834639704,14.016317372336918,0.17180628478818355,2.7354623604432358,154.46851048575465
"(23, 915.0071142042996)",70.24095160270065,14.351154937238983,0.17591058668897322,3.0829812120408127,157.87645707222185
"(24, 915.0071142042996)",69.92357757950235,14.680279769816403,0.17994486425379547,3.44519835142853,161.20563260532128
"(25, 915.0071142042996)",69.61738487134548,15.00451617134285,0.18391922143047384,3.822054979612097,164.46534106818734
"(26, 915.0071142042996)",69.32128209273404,15.32453137464265,0.187841836886029,4.213501334540627,167.66311576137954
"(27, 915.0071142042996)",69.03435742115472,15.640874073880388,0.19171943628907648,4.619495617797785,170.80515251794517
"(28, 915.0071142042996)",68.75583805619762,15.954001889606417,0.19555762896512813,5.0400031493334865,173.89661859068354
"(29, 915.0071142042996)",68.48506056060448,16.264301409538568,0.19936115354829154,5.474995698586089,176.9418780940764
"(30, 915.0071142042996)",68.221448700491,16.57210311755357,0.20313406097473735,5.924450956841729,179.9446599722529
"(31, 915.0071142042996)",67.9644965769886,16.87769272038216,0.20687985332069964,6.388352125981932,182.90818544800024
"(32, 915.0071142042996)",67.71375557344965,17.181319881009024,0.21060159085291638,6.866687604977683,185.83526628818396
"(33, 915.0071142042996)",67.46882411000963,17.48320504777578,0.21430197573698093,7.359450759531887,188.72838162784288
"(34, 915.0071142042996)",67.22933950354786,17.78354485856709,0.2179834182796477,7.866639762674675,191.58973874177454
"(35, 915.0071142042996)",66.99497143479897,18.08251645993257,0.22164808987085766,8.38825749571267,194.42132158591605
"(36, 915.0071142042996)",66.76541666301195,18.380280986061404,0.22529796562758664,8.924311499949566,197.22492986504795
"(37, 915.0071142042996)",66.54039472378145,18.676986377313924,0.22893485894225485,9.474813970442062,200.0022106510789
"(38, 915.0071142042996)",66.31964441206851,18.97276967247846,0.23256044958027255,10.039781783454561,202.75468406504515
"(39, 915.0071142042996)",66.10292090035509,19.267758876408486,0.2361763065727708,10.619236550255176,205.4837641703258
"(40, 915.0071142042996)",65.88999337451791,19.56207448198581,0.23978390687220624,11.213204689950247,208.1907759698197
"(41, 915.0071142042996)",65.68064309591722,19.855830708096082,0.24338465052695638,11.821717515138143,210.87696920515415
"(42, 915.0071142042996)",65.47466181575214,20.149136503140518,0.24697987298195503,12.44481132449635,213.54352951926677
"(43, 915.0071142042996)",65.27185048179139,20.442096354161727,0.25057085499663134,13.082527497255581,216.19158743691608
"(44, 915.0071142042996)",65.07201818814666,20.73481093452564,0.25415883058392125,13.734912585086844,218.82222553704642
"(45, 915.0071142042996)",64.87498132705687,21.027377617520806,0.25774499330576534,14.402018397646613,221.43648412766822
"(46, 915.0071142042996)",64.68056290832317,21.31989087877411,0.26133050120574997,15.083902078701312,224.03536568313524
"(47, 915.0071142042996)",64.48859201740407,21.612442606794076,0.26491648061562634,15.780626170324101,226.6198382629394
"(48, 915.0071142042996)",64.29890338769098,21.905122337956772,0.2685040290356627,16.492258663283497,229.1908380968657
"(49, 915.0071142042996)",64.11133706623274,22.19801742975805,0.2720942172583125,17.218873032273414,231.74927149293282
"(50, 915.0071142042996)",63.925738155373466,22.49121318403744,0.27568809087862756,17.96054825505915,234.29601620028652
"(51, 915.0071142042996)",63.74195661549457,22.78479293007036,0.27928667131277946,18.717368815097615,236.83192233853345
"(52, 915.0071142042996)",63.559847116406054,23.078838075863562,0.2828909564268177,19.489424687504364,239.35781298709236
"(53, 915.0071142042996)",63.379268926931935,23.37342813465804,0.2865019208615198,20.27681130853438,241.87448451295347
"(54, 915.0071142042996)",63.20008583399953,23.668640732469598,0.2901205161248349,21.079629529021698,244.38270670182547
"(55, 915.0071142042996)",63.022166084036016,23.96455160150171,0.2937476705111364,21.89798555238767,246.8832227462427
"(56, 915.0071142042996)",62.84538234075494,24.26123456340665,0.2973842888960365,22.73199085797703,249.37674913448308
"(57, 915.0071142042996)",62.6696116544917,24.558761505645162,0.30103125244662454,23.581762110618243,251.86397547587364
"(58, 915.0071142042996)",62.49473543925393,24.857202353528336,0.3046894182787591,24.447421057311292,254.34556429052284
"(59, 915.0071142042996)",62.320639454323064,25.156625040052827,0.3083596190873263,25.329094412103363,256.8221507861281
"(60, 915.0071142042996)",62.1472137880476,25.457095475118702,0.3120426627689648,26.226913730073314,259.29434263878255
"(61, 915.0071142042996)",61.97435284185877,25.7586775154308,0.3157393320529438,27.14101527151964,261.7627197910375
"(62, 915.0071142042996)",61.80195531317115,26.061432935967396,0.3194503841516857,28.071539857268018,264.22783427682083
"(63, 915.0071142042996)",61.629924176030094,26.365421403757754,0.3231765504393146,29.018632716090067,266.69021007988744
"(64, 915.0071142042996)",61.45816665881243,26.67070045441807,0.3269185361638778,29.98244332515702,269.1503430300467
"(65, 915.0071142042996)",61.28659421842572,26.97732547177305,0.33067702019751094,30.963125244368516,271.6087007402329
"(66, 915.0071142042996)",61.11512251071581,27.285349670721413,0.33445265482680503,31.96083594540991,274.0657225856317
"(67, 915.0071142042996)",60.94367135688161,27.59482408347365,0.3382460655836781,32.97573663628057,276.52181972439894
"(68, 915.0071142042996)",60.772164705866516,27.90579754911945,0.34205785111771286,34.007992082064334,278.97737516007805
"(69, 915.0071142042996)",60.60053059273497,28.218316706512347,0.3458885831088977,35.05777042257275,281.43274384411376
"(70, 915.0071142042996)",60.42870109300552,28.532425990261213,0.34973880621848985,36.12524298712475,283.88825281611236
"(71, 915.0071142042996)",60.25661227337156,28.848167629960784,0.3536090380796368,37.21058410801551,286.34420138179127
"(72, 915.0071142042996)",60.084204138621594,29.165581652262386,0.35749976932251604,38.31397093209465,288.80086132440357
"(73, 915.0071142042996)",59.911420575097466,29.48470588576022,0.36141146363470084,39.43558323151761,291.25847714922213
"(74, 915.0071142042996)",59.73820929082538,29.805575968562636,0.36534455785349834,40.57560321400369,293.7172663577716
"(75, 915.0071142042996)",59.56452175249953,30.12822535836332,0.36929946208963116,41.73421533300452,296.17741975082896
