T_mu,sigma,ω₀,n_B,P,e
"(1, 950.0189712114653)",65.17358926921374,22.56457587955,0.25628102774249245,5.795718270361685,237.67612004657798
"(2, 950.0189712114653)",65.17095042907967,22.571933061902165,0.2563646040525999,5.82740535525488,237.72383204183075
"(3, 950.0189712114653)",65.1665079638007,22.58424507130998,0.25650443994130334,5.880173166475897,237.80391097773423
"(4, 950.0189712114653)",65.16019056509644,22.601591383165644,0.25670143643850535,5.953954523539492,237.91728003027472
"(5, 950.0189712114653)",65.1518944545107,22.624090289673003,0.2569569116769724,6.0486523461003765,238.0652885309323
"(6, 950.0189712114653)",65.14144746275669,22.651925503747893,0.2572731195904565,6.164135610936385,238.2502087827534
"(7, 950.0189712114653)",65.12866323612468,22.6853205411309,0.2576524065743042,6.300234330425085,238.47443989345356
"(8, 950.0189712114653)",65.11327565669438,22.724571805189985,0.25809821316346904,6.456734799166234,238.7414641419101
"(9, 950.0189712114653)",65.0943870788712,22.770892239101205,0.2586243058514915,6.633381505635305,239.06461546967802
"(10, 950.0189712114653)",65.07355201359621,22.821926073461345,0.25920393936185626,6.829880539779957,239.41877926672979
"(11, 950.0189712114653)",65.04866774862676,22.88063595148932,0.2598707474716666,7.0459099762084865,239.83623018477874
"(12, 950.0189712114653)",65.02012308818955,22.94636676140289,0.2606173268798835,7.281126800111837,240.3102779621972
"(13, 950.0189712114653)",64.9877641730283,23.019279751567225,0.26144541292341034,7.535185119182997,240.842917094272
"(14, 950.0189712114653)",64.95147120186746,23.09947942628324,0.2623562926901798,7.807727807161239,241.43572746521744
"(15, 950.0189712114653)",64.91119593236952,23.186994581204935,0.26335025630445796,8.098410118329639,242.0893294443072
"(16, 950.0189712114653)",64.86693848291034,23.281793997596722,0.2644269565287344,8.406896518172752,242.80372868383432
"(17, 950.0189712114653)",64.81874538451181,23.38379231691536,0.26558542317416806,8.732863863888266,243.57832662879656
"(18, 950.0189712114653)",64.76669847400447,23.49286079552305,0.26682422222485497,9.076014282955436,244.4120588094007
"(19, 950.0189712114653)",64.71092560600671,23.60882665743208,0.26814129034549244,9.43605603827301,245.3032567550665
"(20, 950.0189712114653)",64.65156195583491,23.731495070075233,0.269534515472868,9.812725263735185,246.25017783177967
