T_mu,sigma,ω₀,n_B,P,e
"(1, 520.1118481127528)",92.99999999490393,2.5891716197258415e-62,1.1431191773518959e-185,1.9859446137283985e-12,-1.9859446137283985e-12
"(2, 520.1118481127528)",92.99999999490393,4.13687174805686e-62,2.958772007256631e-94,1.9859446137283985e-12,-1.9859446137283985e-12
"(3, 520.1118481127528)",92.99999999490393,9.05976467596485e-47,1.1382646949916207e-63,1.9859446137283985e-12,-1.9859446137283985e-12
"(4, 520.1118481127528)",92.99999999490393,1.566237962123533e-37,2.5385387575300525e-48,1.9859446137283985e-12,-1.9859446137283985e-12
"(5, 520.1118481127528)",92.99999999490393,2.3745731693989804e-31,4.4345801257030174e-39,1.9859446137283985e-12,-1.9859446137283985e-12
"(6, 520.1118481127528)",92.99999999490393,6.4013793825795686e-27,6.768830079709574e-33,1.9859446137283985e-12,-1.9859446137283985e-12
"(7, 520.1118481127528)",92.99999999490393,1.0825890298410595e-23,1.83333977328671e-28,1.9859446137283985e-12,-1.985944613728303e-12
"(8, 520.1118481127528)",92.99999999490393,4.364976606532784e-21,3.9781132707911987e-25,1.9859446137283985e-12,-1.9859446135214923e-12
"(9, 520.1118481127528)",92.99999999490393,5.423669945054102e-19,1.5993491562051333e-22,1.9859446137283985e-12,-1.985944530544354e-12
"(10, 520.1118481127528)",92.99999999490393,2.869398148627473e-17,1.9714255019033213e-20,1.9859446137283985e-12,-1.9859343601107864e-12
"(11, 520.1118481127528)",92.9999999949025,3.749178073046243e-17,1.0269576600681366e-18,1.9859446137283985e-12,-1.9854104808818866e-12
"(12, 520.1118481127528)",93.0,0.0,2.8007865478587496e-17,0.0,1.4567222675761513e-14
"(13, 520.1118481127528)",93.0,0.0,4.639145292862991e-16,0.0,2.4128744319345483e-13
"(14, 520.1118481127528)",93.0,0.0,5.189610245210676e-15,1.241215383580249e-13,2.575056237263376e-12
"(15, 520.1118481127528)",93.0,0.0,4.238606419602147e-14,6.206076917901245e-13,2.1424886491428385e-11
"(16, 520.1118481127528)",93.0,0.0,2.6799246683960897e-13,4.344253842530871e-12,1.3504180336571378e-10
"(17, 520.1118481127528)",92.99999999456364,3.730510352492063e-11,1.3718121034071424e-12,2.532079382503708e-11,6.881749345414945e-10
"(18, 520.1118481127528)",93.0,6.04502850484126e-10,5.886995149714551e-12,1.0599979375775326e-10,2.955896133391094e-9
"(19, 520.1118481127528)",92.99999998937977,7.935687661371943e-10,2.177197537796351e-11,4.156830319610254e-10,1.0908179318936925e-8
"(20, 520.1118481127528)",93.0,2.38749225747903e-9,7.094157298002781e-11,1.4188333049705827e-9,3.5478719325697406e-8
"(21, 520.1118481127528)",93.0,2.1519967877514208e-8,2.0733759635522355e-10,4.3540594440611554e-9,1.0348468097951012e-7
"(22, 520.1118481127528)",92.99999985327993,5.893509382255636e-8,5.515676087339224e-10,1.2138465843723045e-8,2.747383824940091e-7
"(23, 520.1118481127528)",92.99999965845446,1.417170766271002e-7,1.3518562316725357e-9,3.108673576792077e-8,6.720297072700235e-7
"(24, 520.1118481127528)",92.9999992190707,3.138166328683746e-7,3.0836717916332175e-9,7.400411596443668e-8,1.5298501185550798e-6
"(25, 520.1118481127528)",92.99999832992104,6.476112855355905e-7,6.602488125375241e-9,1.6505620110080974e-7,3.268976099930611e-6
"(26, 520.1118481127528)",92.99999663899044,1.2792166084054944e-6,1.3365337833300402e-8,3.475008367532719e-7,6.603969724375895e-6
"(27, 520.1118481127528)",92.99999353491292,2.438616773086671e-6,2.5736846952240492e-8,6.948889711497147e-7,1.2691150061775158e-5
"(28, 520.1118481127528)",92.99998811150573,4.423419661291957e-6,4.739421065529184e-8,1.3270340081732943e-6,2.3323256485595664e-5
"(29, 520.1118481127528)",92.9999790066251,7.71584809418288e-6,8.384313767339229e-8,2.431445238727634e-6,4.1176364048152396e-5
"(30, 520.1118481127528)",92.99996424153333,1.3003153096359584e-5,1.4305336147417838e-7,4.29158162651326e-6,7.011216658856332e-5
"(31, 520.1118481127528)",92.99994104949938,2.124213045302554e-5,2.362181803648266e-7,7.32273149699922e-6,0.00011553714285038231
"(32, 520.1118481127528)",92.99990566482373,3.373231401471196e-5,3.7863799237982406e-7,1.211634850268149e-5,0.0001848177574796912
"(33, 520.1118481127528)",92.99985305269581,5.21983368469154e-5,5.90723274545926e-7,1.9493701544458235e-5,0.0002877484725028404
"(34, 520.1118481127528)",92.99977668521944,7.335121275576075e-5,8.991091606663805e-7,3.056928598314615e-5,0.000437068041226151
"(35, 520.1118481127528)",92.99966822132455,0.00011479310619835569,1.337862920705559e-6,4.682431761592226e-5,0.0006490140385937712
"(36, 520.1118481127528)",92.99951721994925,0.00015906788909360406,1.9497891168619e-6,7.019043689051102e-5,0.000943917984110664
"(37, 520.1118481127528)",92.9993107987652,0.00023717866168780286,2.7877680654271247e-6,0.00010314359009254449,0.001346807610526471
"(38, 520.1118481127528)",92.99903333602103,0.0003194917773844758,3.91619951979464e-6,0.00014880770223284047,0.0018880540675858246
"(39, 520.1118481127528)",92.9986661175638,0.0004415532707470906,5.412379372335248e-6,0.00021106779905915286,0.0026039748389734742
"(40, 520.1118481127528)",92.99818701013051,0.0006010958750831703,7.367987354044945e-6,0.0002946918174514853,0.0035374857021322225
"(41, 520.1118481127528)",92.99757015836093,0.0008068868942649582,9.890489492610047e-6,0.00040546040365900613,0.004738700365082168
"(42, 520.1118481127528)",92.99678568431018,0.0010690959941809563,1.3104541368667853e-5,0.0005503039118274034,0.006265523318100456
"(43, 520.1118481127528)",92.9957993459866,0.0013994056499864315,1.715334201895832e-5,0.0007374455783175023,0.008184210840473048
"(44, 520.1118481127528)",92.9945723333737,0.0018111169799419063,2.2199931098365572e-5,0.0009765499302291549,0.010569897261317537
"(45, 520.1118481127528)",92.99306098771794,0.002319250065917159,2.8428418611654617e-5,0.001278875510996357,0.013507081832034303
"(46, 520.1118481127528)",92.99121657779854,0.002940638101989932,3.604513897526889e-5,0.0016574308960719795,0.01709007295183614
"(47, 520.1118481127528)",92.98898512932941,0.0036940149070198735,4.5279723644089175e-5,0.002127133035394861,0.02142338771116707
"(48, 520.1118481127528)",92.98630723029675,0.004600095537906847,5.638608941184987e-5,0.0027049672031066972,0.026622105968741462
"(49, 520.1118481127528)",92.98311797095192,0.0056816499045994635,6.964334042021545e-5,0.003410147485584046,0.032812179009119785
"(50, 520.1118481127528)",92.97934679506042,0.006963569483405229,8.535658618643084e-5,0.00426427733239995,0.04013069445762007
"(51, 520.1118481127528)",92.974917451731,0.008472927339118438,0.00010385767738453532,0.005291509291062321,0.048726099234106396
"(52, 520.1118481127528)",92.96974801853625,0.010239031791692079,0.00012550586331875173,0.006518703547827252,0.058758382971875266
"(53, 520.1118481127528)",92.96375087919714,0.012293474196594873,0.00015068837795995067,0.007975584672970153,0.07039922607689279
"(54, 520.1118481127528)",92.95683280989348,0.014670171320486185,0.00017982095908999814,0.009694896226573928,0.08383211513513272
"(55, 520.1118481127528)",92.9488950590812,0.01740540290197402,0.00021334830889842922,0.011712552986769086,0.0992524302461234
"(56, 520.1118481127528)",92.93983348720381,0.02053784496411701,0.00025174450229021846,0.014067790445438186,0.11686750789295244
"(57, 520.1118481127528)",92.929538741513,0.024108599466335028,0.00029551335035801486,0.01680331160924169,0.13689668318745682
"(58, 520.1118481127528)",92.91789647824463,0.028161220843701058,0.00034518872546169215,0.01996543086268698,0.15957131508487934
"(59, 520.1118481127528)",92.90478760121205,0.03274173996973195,0.00040133485515152705,0.02360421494611638,0.1851347982788083
"(60, 520.1118481127528)",92.89008854491551,0.037898685974351025,0.0004645465897598884,0.027773621132023765,0.2138425642024686
"(61, 520.1118481127528)",92.87367161104227,0.04368310625868359,0.0005354496473605929,0.0325316324738406,0.24596207318619911
"(62, 520.1118481127528)",92.85540531124693,0.050148585029982755,0.0006147008413998518,0.03794039040658894,0.2817728002503521
"(63, 520.1118481127528)",92.83515477267743,0.057351260436780134,0.0007029882901851763,0.04406632466154437,0.32156621414829184
"(64, 520.1118481127528)",92.81278214297195,0.06534984043853276,0.0008010316119238582,0.05098028054480567,0.36564575152964957
"(65, 520.1118481127528)",92.78814704459771,0.0742056172424787,0.0009095821014041442,0.058757643831117375,0.4143267839404734
"(66, 520.1118481127528)",92.76110704240223,0.08398248015778752,0.0010294228876631055,0.0674784631302055,0.46793657746181894
"(67, 520.1118481127528)",92.73151813460726,0.0947469265118137,0.0011613690677136372,0.07722756979128659,0.5268142423582379
"(68, 520.1118481127528)",92.69923525489384,0.10656807021264332,0.0013062678116113333,0.08809469544914347,0.5913106701782284
"(69, 520.1118481127528)",92.66411278839504,0.11951764738002717,0.0014649984313276148,0.10017458700200227,0.6617884545980873
"(70, 520.1118481127528)",92.62600508670364,0.13367001844917936,0.001638472406652113,0.11356711889969565,0.7386217926058847
"(71, 520.1118481127528)",92.58476698247536,0.14910216601424556,0.001827633358794957,0.1283774028221707,0.8221963610931922
"(72, 520.1118481127528)",92.54025398047797,0.16589368953804962,0.002033457017296278,0.14471589412537553,0.9129091931984374
"(73, 520.1118481127528)",92.49232432843964,0.1841267829928786,0.002256950786407086,0.1626984952129036,1.0111683494048165
"(74, 520.1118481127528)",92.44083607988293,0.20388623587380628,0.002499154105569769,0.1824466552042236,1.1173930053622425
"(75, 520.1118481127528)",92.3856518965918,0.2252593789905989,0.0027611373223190563,0.20408746572932454,1.2320127698751373
"(76, 520.1118481127528)",92.32663547641779,0.2483360760505553,0.003044002035037324,0.22775375236706707,1.3554677717351757
"(77, 520.1118481127528)",92.2636544787383,0.27320866254833603,0.003348880048444336,0.2535841613515253,1.4882080297527833
"(78, 520.1118481127528)",92.19658038398752,0.2999718948964349,0.003676932780133106,0.2817232411344839,1.630693062526908
"(79, 520.1118481127528)",92.12528751829956,0.32872289969351004,0.004029350840634468,0.3123215182842692,1.783391594132798
"(80, 520.1118481127528)",92.04965478396659,0.3595610891192533,0.004407352747294863,0.3455355674134658,1.9467808152668837
"(81, 520.1118481127528)",91.9695649577058,0.39258808412263957,0.00481218415616569,0.3815280745844184,2.1213459203378267
"(82, 520.1118481127528)",91.88490529197742,0.4279076204126185,0.005245116574230317,0.4204678939256579,2.307579381064103
"(83, 520.1118481127528)",91.79556692453538,0.4656254531131847,0.005707446344790942,0.46253009704046577,2.5059803693531264
"(84, 520.1118481127528)",91.70144563170523,0.5058492359293907,0.006200493009633181,0.5078960149616916,2.7170538634888266
"(85, 520.1118481127528)",91.60244111104953,0.5486884115798154,0.006725598100818663,0.5567532723225368,2.9413099855578784
"(86, 520.1118481127528)",91.49845732149372,0.5942540776785479,0.007284123396614488,0.6092958137032131,3.17926306799129
"(87, 520.1118481127528)",91.3894021208957,0.6426588551045679,0.007877449357690577,0.6657239219903796,3.431430821852684
"(88, 520.1118481127528)",91.27518711195762,0.6940167466969603,0.008506973384186952,0.7262442286431111,3.698333420052364
"(89, 520.1118481127528)",91.1557273982014,0.7484429915400366,0.009174108033379622,0.7910697160772733,3.9804925679498537
"(90, 520.1118481127528)",91.03094136172187,0.8060539143708745,0.00988027915565081,0.8604197122627598,4.278430539252692
"(91, 520.1118481127528)",90.90075028116944,0.8669667743557902,0.010626924076803627,0.9345198776029774,4.592669243737267
"(92, 520.1118481127528)",90.76507810527909,0.9312996093454468,0.011415489653446126,1.0136021846083298,4.923729236157542
"(93, 520.1118481127528)",90.62385107946325,0.9991710818831386,0.012247430403372539,1.097904890599534,5.272128771130874
"(94, 520.1118481127528)",90.47699738439968,1.070700325630066,0.013124206638615193,1.1876725038853684,5.638382865938438
"(95, 520.1118481127528)",90.32444698416934,1.1460067900699273,0.014047282444182293,1.2831557439487054,6.023002289056774
"(96, 520.1118481127528)",90.1661308572983,1.2252100985470773,0.015018124200112297,1.3846114961518297,6.426492836755435
"(97, 520.1118481127528)",90.00198112113661,1.3084298951277487,0.016038198424261917,1.492302761539083,6.849354261302823
"(98, 520.1118481127528)",89.8319304684491,1.3957857078961837,0.017108970242984956,1.6064986024082024,7.292079529976796
"(99, 520.1118481127528)",89.6559119119052,1.487396812476912,0.018231901688088727,1.7274740841578922,7.755153997443953
"(100, 520.1118481127528)",89.47385850110894,1.583382101944965,0.019408450102246188,1.8555102142428637,8.239054637440548
"(101, 520.1118481127528)",89.28570306742843,1.6838599623872985,0.020640066613678884,1.990893878614424,8.744249312996429
"(102, 520.1118481127528)",89.0913780018652,1.7889481539729526,0.02192819467836337,2.1339177764337864,9.271196083506018
"(103, 520.1118481127528)",88.89081507170273,1.8987636970522261,0.023274268683881667,2.2848803535467757,9.820342545099686
"(104, 520.1118481127528)",88.68394528197334,2.0134227624555368,0.02467971260469356,2.4440857351215772,10.39212519859719
"(105, 520.1118481127528)",88.47069878822059,2.1330405647348174,0.026145938693811207,2.611843657943916,10.986968836736963
"(106, 520.1118481127528)",88.25100486797976,2.2577312567255907,0.027674346189801805,2.7884694026116925,11.605285939478243
"(107, 520.1118481127528)",88.02479195814327,2.387607823179409,0.029266320013647863,2.97428372573533,12.247476064022305
"(108, 520.1118481127528)",87.79198776732396,2.522781970892308,0.03092322942161788,3.169612792231835,12.91392521186049
"(109, 520.1118481127528)",87.55251947282322,2.6633640119644646,0.032646426574021795,3.3747881073747084,13.605005152317052
"(110, 520.1118481127528)",87.3063140110992,2.8094627364181557,0.03443724497474011,3.5901464482683063,14.321072679455378
"(111, 520.1118481127528)",87.05329847527784,2.961185269627672,0.03629699772269956,3.816029794109036,15.06246877238861
"(112, 520.1118481127528)",86.79340062939488,3.118636909458786,0.03822697551604566,4.052785254184688,15.829517629226771
"(113, 520.1118481127528)",86.52654955365604,3.2819209372732456,0.04022844433548109,4.300764992453839,16.622525537574234
"(114, 520.1118481127528)",86.252676433155,3.4511383964382776,0.0423026427292676,4.56032614701134,17.441779542961537
"(115, 520.1118481127528)",85.97171550379386,3.6263878312918885,0.04445077861358231,4.831830742627676,18.28754587213345
"(116, 520.1118481127528)",85.68360516868609,3.807764979059476,0.04667402549617478,5.115645593842697,19.160068065834512
"(117, 520.1118481127528)",85.38828929685276,3.9953624069659464,0.04897351802820608,5.412142195953143,20.059564774280336
"(118, 520.1118481127528)",85.08571871493265,4.1892690865685385,0.05135034678665612,5.721696600736325,20.98622716770215
"(119, 520.1118481127528)",84.77585289964507,4.389569897564512,0.05380555219216673,6.044689273214122,21.940215916180897
"(120, 520.1118481127528)",84.45866187432337,4.596345053955023,0.05634011747501528,6.3815049256868415,22.921657697132954
"(1, 521.0028835127271)",92.99999999490393,1.0414714913948225e-62,2.786487946700186e-185,1.9859446137283985e-12,-1.9859446137283985e-12
"(2, 521.0028835127271)",92.99999999490393,3.1244144741844673e-62,4.619528674052351e-94,1.9859446137283985e-12,-1.9859446137283985e-12
"(3, 521.0028835127271)",92.99999999490393,6.469363895965892e-47,1.5319120387660394e-63,1.9859446137283985e-12,-1.9859446137283985e-12
"(4, 521.0028835127271)",92.99999999490393,1.080890544147328e-37,3.171952948533804e-48,1.9859446137283985e-12,-1.9859446137283985e-12
"(5, 521.0028835127271)",92.99999999490393,1.6015644992215597e-31,5.2996459651761327e-39,1.9859446137283985e-12,-1.9859446137283985e-12
"(6, 521.0028835127271)",92.99999999490393,4.247130415354889e-27,7.852517348184568e-33,1.9859446137283985e-12,-1.9859446137283985e-12
"(7, 521.0028835127271)",92.99999999490393,1.6987110128195866e-26,2.082210534659266e-28,1.9859446137283985e-12,-1.98594461372829e-12
"(8, 521.0028835127271)",92.99999999490393,3.6278011999627067e-23,4.446810413783741e-25,1.9859446137283985e-12,-1.9859446134967185e-12
"(9, 521.0028835127271)",92.99999999490393,1.440572152821906e-20,1.7657944485704996e-22,1.9859446137283985e-12,-1.9859445217299984e-12
"(10, 521.0028835127271)",92.99999999490393,1.7582167592062397e-18,2.1551502129121907e-20,1.9859446137283985e-12,-1.9859333853336452e-12
"(11, 521.0028835127271)",92.9999999949025,8.378136070511255e-17,1.1136065818721237e-18,1.9859446137283985e-12,-1.985364421488144e-12
"(12, 521.0028835127271)",93.0,0.0,3.016668984396514e-17,0.0,1.571693239473994e-14
