T_mu,sigma,ω₀,n_B,P,e
"(17, 845.0071142042996)",92.94218316901882,0.016468428522902916,0.0002761441828107546,0.004673757842408054,0.22867004117881223
"(18, 845.0071142042996)",92.91399541974094,0.025439816560915412,0.0004112208350310063,0.007357879585324043,0.34012665152490895
"(19, 845.0071142042996)",92.87658968097453,0.03524252265279442,0.0005909499867318822,0.011133328554434397,0.4882236143729425
"(20, 845.0071142042996)",92.82824810940326,0.04910408696083754,0.0008233820265462475,0.016283864928610014,0.6794798052109225
"(21, 845.0071142042996)",92.7671392814395,0.06664471437509159,0.0011175049597791896,0.02312934307136506,0.9211702981006399
"(22, 845.0071142042996)",92.69130852511128,0.08842876522405772,0.001482781983481863,0.03202619302362505,1.2209351318325115
"(23, 845.0071142042996)",92.59865969536415,0.11505897179057736,0.0019293198311513497,0.04336797679337517,1.5869210061049535
"(24, 845.0071142042996)",92.48692696749396,0.14718310969548234,0.0024679804445012876,0.05758639653136612,2.0278746367893112
"(25, 845.0071142042996)",92.35363599838445,0.1855035046846738,0.003110540488605344,0.0751528622720357,2.5532759796199977
"(26, 845.0071142042996)",92.19605191176008,0.23078997095369794,0.0038699082814906615,0.0965807698042852,3.173519259373459
"(27, 845.0071142042996)",92.01111110529227,0.28389703990190196,0.004760412714343786,0.12242866657153972,3.900153943597559
"(28, 845.0071142042996)",91.79533212579845,0.3457867996872738,0.005798186171293394,0.15330452980753664,4.746204034416371
"(29, 845.0071142042996)",91.54469941380349,0.4175592070243061,0.007001673586864917,0.18987145382344262,5.7265925384137475
"(30, 845.0071142042996)",91.25450743735813,0.5004932060355579,0.008392317893356932,0.23285515008805246,6.858713174462595
"(31, 845.0071142042996)",90.91916106593699,0.5961013515545933,0.009995484418456047,0.28305381722853823,8.163201626285048
"(32, 845.0071142042996)",90.53189833348041,0.7062065898209012,0.011841739566458788,0.341351155339076,9.665003022873139
"(33, 845.0071142042996)",90.08442873080557,0.8330473040007729,0.013968616782546836,0.4087335967415732,11.394846960104076
