T_mu,sigma,ω₀,n_B,P,e
"(1, 600.1118481127528)",92.99999970072754,1.0652726248364446e-50,6.327668571879105e-151,3.971889227456797e-12,-3.971889227456797e-12
"(2, 600.1118481127528)",92.99999970072754,1.7020486311581246e-50,6.965190296627961e-77,3.971889227456797e-12,-3.971889227456797e-12
"(3, 600.1118481127528)",92.99999970072754,4.743725449012219e-38,4.339413794164872e-52,3.971889227456797e-12,-3.971889227456797e-12
"(4, 600.1118481127528)",92.99999970072754,1.502048756537027e-30,1.2316085742725365e-39,3.971889227456797e-12,-3.971889227456797e-12
"(5, 600.1118481127528)",92.99999970072754,1.582329771109006e-25,3.9406175661392383e-32,3.971889227456797e-12,-3.971889227456797e-12
"(6, 600.1118481127528)",92.99999970072754,6.350832912719621e-22,4.1793320519868255e-27,3.971889227456797e-12,-3.971889227454289e-12
"(7, 600.1118481127528)",92.99999970072754,2.5793784255507714e-19,1.6850337268006078e-23,3.971889227456797e-12,-3.9718892173447095e-12
"(8, 600.1118481127528)",92.99999970076061,3.440862627621169e-17,8.762379487084805e-21,3.971889227456797e-12,-3.971883969049049e-12
"(9, 600.1118481127528)",92.99999999999602,4.914209164012569e-16,1.1596812708040728e-18,3.971889227456797e-12,-3.971193288986153e-12
"(10, 600.1118481127528)",92.99999992439497,1.7320128390060617e-16,5.876736472045244e-17,3.971889227456797e-12,-3.93662223560569e-12
"(11, 600.1118481127528)",92.99999992439497,8.217200356538819e-13,1.479305440533251e-15,3.971889227456797e-12,-3.0841405056151376e-12
"(12, 600.1118481127528)",92.99999999999491,7.326129031212604e-12,2.2007795066501e-14,8.192021531629644e-12,5.015117038614995e-12
"(13, 600.1118481127528)",92.99999970067762,5.5477862189096214e-11,2.1828277085523326e-13,6.82668460969137e-12,1.2416739241941522e-10
"(14, 600.1118481127528)",92.99999999956776,3.7172347466213715e-10,1.5733215029030088e-12,2.5941401516827204e-11,9.182274732658311e-10
"(15, 600.1118481127528)",92.99999999768181,1.5646441105076798e-9,8.779308561672506e-12,1.3566484142532122e-10,5.132902244672081e-9
"(16, 600.1118481127528)",92.99999998955425,6.141546377605309e-9,3.9773607472554884e-11,6.482867948439641e-10,2.3220326291622145e-8
"(17, 600.1118481127528)",92.99999966099067,2.1212182614938786e-8,1.517167106533905e-10,2.5871893455346713e-9,8.845980627425929e-8
"(18, 600.1118481127528)",92.99999956965375,7.046877148350689e-8,5.012927590672789e-10,9.027235363240793e-9,2.9180448872616487e-7
"(19, 600.1118481127528)",92.99999961688391,1.8229516750609719e-7,1.4672570443052832e-9,2.7881917647516568e-8,8.526364188669821e-7
"(20, 600.1118481127528)",92.99999869100978,4.490550818264199e-7,3.8732798395825685e-9,7.747356120462019e-8,2.2469275615851413e-6
"(21, 600.1118481127528)",92.99999756451356,1.0386852860076882e-6,9.356931342043463e-9,1.9650350993766057e-7,5.418701850400183e-6
"(22, 600.1118481127528)",92.99999448405447,2.2462282295639876e-6,2.0933983873968144e-8,4.605595465189844e-7,1.2102172204450602e-5
"(23, 600.1118481127528)",92.99998855812291,4.622065578397537e-6,4.380472431865362e-8,1.007508676707461e-6,2.528022539022941e-5
"(24, 600.1118481127528)",92.99997760441545,8.92739429374584e-6,8.644068467077631e-8,2.0745767012314053e-6,4.979950232867987e-5
"(25, 600.1118481127528)",92.99995802604373,1.6410865505793944e-5,1.619769411856851e-7,4.049408589509071e-6,9.315487293708309e-5
"(26, 600.1118481127528)",92.99992512269121,2.8895892311446748e-5,2.899186783045039e-7,7.537848769315204e-6,0.0001664457850704073
"(27, 600.1118481127528)",92.99987154430926,4.896255693987997e-5,4.981532568222014e-7,1.345000712560003e-5,0.00028549766446935807
"(28, 600.1118481127528)",92.99978753184155,8.015092470147937e-5,8.252419377552221e-7,2.3106399051585357e-5,0.00047213106535485026
"(29, 600.1118481127528)",92.99965984781434,0.0001271840359539215,1.3229512056733988e-6,3.836458789556665e-5,0.0007555541051040913
"(30, 600.1118481127528)",92.99947155123972,0.0001812853423654974,2.0589793035065487e-6,6.176672649585767e-5,0.0011738511485573657
"(31, 600.1118481127528)",92.99920055427388,0.00029006170343212796,3.119773284865216e-6,9.67072431449245e-5,0.001775505668528334
"(32, 600.1118481127528)",92.99881958574487,0.0004062036727591681,4.61352781573635e-6,0.0001476196569167682,0.0026210130469043642
