T_mu,σ,ω₀,n_B,P,ϵ
"(0.0, 460.1118481127528)",92.99999999999402,0.0,0.0,7.943778454913594e-12,-7.943778454913594e-12
"(1.0084033613445378, 460.1118481127528)",92.99999999999402,0.0,5.486356405861743e-210,7.943778454913594e-12,-7.943778454913594e-12
"(2.0168067226890756, 460.1118481127528)",92.99999999999402,0.0,2.0621223787694062e-106,7.943778454913594e-12,-7.943778454913594e-12
"(3.0252100840336134, 460.1118481127528)",92.99999999999402,0.0,8.985568237186362e-72,7.943778454913594e-12,-7.943778454913594e-12
"(4.033613445378151, 460.1118481127528)",92.99999999999402,0.0,2.1327282996526706e-54,7.943778454913594e-12,-7.943778454913594e-12
"(5.04201680672269, 460.1118481127528)",92.99999999999402,0.0,6.129672098439018e-44,7.943778454913594e-12,-7.943778454913594e-12
"(6.050420168067227, 460.1118481127528)",92.99999999999402,0.0,6.052331629700132e-37,7.943778454913594e-12,-7.943778454913594e-12
"(7.0588235294117645, 460.1118481127528)",92.99999999999402,0.0,6.220343256100463e-32,7.943778454913594e-12,-7.943778454913594e-12
"(8.067226890756302, 460.1118481127528)",92.99999999999402,0.0,3.669627883763534e-28,7.943778454913594e-12,-7.943778454913426e-12
"(9.07563025210084, 460.1118481127528)",92.99999999999402,0.0,3.2117060463625366e-25,7.943778454913594e-12,-7.94377845476582e-12
"(10.08403361344538, 460.1118481127528)",92.99999999999402,0.0,7.376534373914923e-23,7.943778454913594e-12,-7.943778420973285e-12
"(11.092436974789916, 460.1118481127528)",92.99999999999402,0.0,6.3938664227384315e-21,7.943778454913594e-12,-7.943775513019898e-12
"(12.100840336134453, 460.1118481127528)",92.99999999999402,0.0,2.665475342019008e-19,7.943778454913594e-12,-7.943655813235022e-12
"(13.109243697478991, 460.1118481127528)",92.99999999999402,0.0,6.32216669919982e-18,7.943778454913594e-12,-7.940869551109548e-12
"(14.117647058823529, 460.1118481127528)",92.99999999999402,0.0,9.621011589257953e-17,7.943778454913594e-12,-7.899511040683118e-12
"(15.126050420168067, 460.1118481127528)",92.99999999999402,0.0,1.0259988166240007e-15,7.943778454913594e-12,-7.471704243235227e-12
