T_mu,sigma,ω₀,n_B,P,e
"(17.0, 995.0419430422824)",55.2983735302056,28.68561000708706,0.3871974304364814,23.813937421368404,361.463746101127
"(18.0, 995.0419430422824)",55.27187608486291,28.76365918905654,0.3882509582858746,24.23464155536237,362.0913463654424
"(19.0, 995.0419430422824)",55.24305896063934,28.84694916388581,0.3893752366971905,24.676913682542512,362.7677784131785
"(20.0, 995.0419430422824)",55.21191273647119,28.93545227066941,0.3905698383224145,25.140438789230576,363.4929320288148
"(21.0, 995.0419430422824)",55.17843159100874,29.02914566381046,0.3918344829460298,25.624918994373832,364.26682626721174
"(22.0, 995.0419430422824)",55.14261947500432,29.127986076023426,0.3931686156922857,26.130065213991745,365.08919808770463
"(23.0, 995.0419430422824)",55.10449325307483,29.231918541840752,0.39457153949003,26.655605221295797,365.95962610204833
"(24.0, 995.0419430422824)",55.06407851457738,29.340877823545746,0.3960422090962353,27.201281349858014,366.8773279160178
"(25.0, 995.0419430422824)",55.02139670777949,29.454791921789734,0.39757985896528447,27.766847948092952,367.8417874312003
"(26.0, 995.0419430422824)",54.97648435645881,29.5735827224513,0.3991832787546897,28.3520920996853,368.8520132223701
"(27.0, 995.0419430422824)",54.92936733639921,29.69717057706609,0.40085145845695996,28.956792420315214,369.90722167403095
"(28.0, 995.0419430422824)",54.88007688196736,29.825472756422485,0.40258326796708,29.58076413735661,371.0064730569185
"(29.0, 995.0419430422824)",54.82864060719777,29.958407458244746,0.40437764780238844,30.223828710320507,372.1488916818358
"(30.0, 995.0419430422824)",54.77508441019989,30.095894023242447,0.4062334211090462,30.88583228551469,373.3334603835444
"(31.0, 995.0419430422824)",54.719426312184666,30.237854202817587,0.40814959642302373,31.566630708098373,374.5593367685905
"(32.0, 995.0419430422824)",54.66168086111306,30.38421280374063,0.41012515164402313,32.266100459185964,375.8256273231935
"(33.0, 995.0419430422824)",54.60185976289068,30.534898187294925,0.41215906116073264,32.984132843830096,377.13142021602823
"(34.0, 995.0419430422824)",54.539964371052484,30.689843637933773,0.4142505115877624,33.72063569367619,378.47599826287035
"(35.0, 995.0419430422824)",54.47599342578347,30.848985861617933,0.4163986503667694,34.47553267646694,379.8585894646672
"(36.0, 995.0419430422824)",54.40993829244752,31.012267413769514,0.4186026075103104,35.24876257715114,381.27838936247406
"(37.0, 995.0419430422824)",54.341786693493084,31.179635104669206,0.4208617095214081,36.04028014147031,382.73477305280824
"(38.0, 995.0419430422824)",54.27151821759786,31.351040190178527,0.42317536790834887,36.850053577058496,384.2271867540976
"(39.0, 995.0419430422824)",54.199110701580096,31.526439106722066,0.425542832289009,37.67806632547156,385.7549003631001
"(40.0, 995.0419430422824)",54.124532445530576,31.705792380263517,0.4279637809150491,38.52431666708665,387.3175954463455
"(41.0, 995.0419430422824)",54.04775048631794,31.889065166051157,0.430437595603909,39.38881548950612,388.91464599865566
"(42.0, 995.0419430422824)",53.968729865096016,32.07622640016397,0.4329638968016457,40.271585716381914,390.54565142428584
"(43.0, 995.0419430422824)",53.88743039942986,32.26724872317496,0.43554229993937665,41.172665656838205,392.2101907519437
"(44.0, 995.0419430422824)",53.80380703939237,32.462108627578964,0.4381724947713228,42.09210419329716,393.90790639164413
"(45.0, 995.0419430422824)",53.717812671017384,32.660786104958035,0.44085425455489724,43.02996478768647,395.63850926307543
"(46.0, 995.0419430422824)",53.62940184995926,32.86326276249557,0.44358728309943857,43.98631732877331,397.40163475533905
"(47.0, 995.0419430422824)",53.53852648997273,33.06952045648105,0.4463713375454259,44.961247782785264,399.19695524679776
"(47.99999999999999, 995.0419430422824)",53.4451283622173,33.27955930934861,0.44920644108697727,45.954851058137066,401.02439890815737
"(49.0, 995.0419430422824)",53.34916350720918,33.493356316968914,0.4520922615699923,46.96723068979051,402.8835316971944
"(50.0, 995.0419430422824)",53.25057742080729,33.71090769624017,0.45502875971775275,47.998503187503815,404.77419802216866
"(51.0, 995.0419430422824)",53.14931800091273,33.93220656715459,0.45801584988710703,49.04879311441506,406.69618810141424
"(52.0, 995.0419430422824)",53.0453340987359,34.157248352253276,0.4610534378958846,50.11823261062691,408.64927607961835
"(53.0, 995.0419430422824)",52.93857203929705,34.38602865985744,0.46414153623614796,51.20696311580201,410.6333329472445
"(54.0, 995.0419430422824)",52.8289830115279,34.618545079644946,0.4672800287565578,52.31513606142606,412.64809169735275
"(55.0, 995.0419430422824)",52.71651790236232,34.854795286564425,0.4704689391554316,53.44290899428715,414.6934183639748
"(56.0, 995.0419430422824)",52.60112759977632,35.09477874307834,0.47370821512413036,54.59044750561438,416.76909530659174
"(57.0, 995.0419430422824)",52.48276580776729,35.338494078202004,0.4769978433844761,55.757923666519794,418.8749372417476
"(58.0, 995.0419430422824)",52.36138537563827,35.585941206628014,0.4803378851595885,56.94551759887364,421.010824967144
