T_mu,sigma,ω₀,n_B,P,e
"(1.0, 510.1118481127528)",93.0,0.0,5.19119739431944e-190,0.0,2.6480912967343964e-187
"(2.0, 510.1118481127528)",93.0,0.0,1.9935784434732876e-96,0.0,1.016947984157904e-93
"(3.0, 510.1118481127528)",93.0,0.0,4.06065075909913e-65,0.0,2.07138606326451e-62
"(4.0, 510.1118481127528)",93.0,0.0,2.0837594051936915e-49,0.0,1.0629503612056843e-46
"(5.0, 510.1118481127528)",93.0,0.0,6.001551784006188e-40,0.0,3.061462672083785e-37
"(6.000000000000001, 510.1118481127528)",93.0,0.0,1.2784669787594462e-33,0.0,6.5216115328610855e-31
"(7.0, 510.1118481127528)",93.0,0.0,4.3936180944622046e-29,0.0,2.2412366460677465e-26
"(8.0, 510.1118481127528)",93.0,0.0,1.1397485875113974e-25,0.0,5.813992583593386e-23
"(9.0, 510.1118481127528)",93.0,0.0,5.264945402933997e-23,0.0,2.685711029703403e-20
"(10.0, 510.1118481127528)",93.0,0.0,7.252469173975348e-21,0.0,3.699570453717335e-18
"(11.000000000000002, 510.1118481127528)",93.0,0.0,4.137512970693166e-19,0.0,2.1105943880707769e-16
"(12.0, 510.1118481127528)",92.99999999997257,9.017777618466173e-16,1.2172167696957206e-17,3.971889227456797e-12,-3.965680060497364e-12
"(13.0, 510.1118481127528)",93.0,0.0,2.1496376386989168e-16,0.0,1.0965556286494384e-13
"(14.0, 510.1118481127528)",92.99999999997897,1.8821573101900564e-13,2.5405299820741594e-15,3.971889227456797e-12,-2.6759347831150887e-12
"(15.0, 510.1118481127528)",92.99999999996844,1.6122222268514603e-12,2.1761724606590957e-14,2.358309228802473e-12,8.742604328386408e-12
"(16.0, 510.1118481127528)",93.0,0.0,1.4344596358578262e-13,2.2341876904444484e-12,7.093929789861375e-11
"(17.0, 510.1118481127528)",92.9999999936313,5.643630531036476e-11,7.617754680151221e-13,1.6880529216691386e-11,3.717101626194597e-10
"(18.0, 510.1118481127528)",92.99999999293857,2.502361917962433e-10,3.3776802174083318e-12,6.28054984091606e-11,1.6601891996268884e-9
"(19.0, 510.1118481127528)",93.0,0.0,1.2862375717046631e-11,2.4439530902695105e-10,6.3168549391163e-9
"(20.0, 510.1118481127528)",92.99999998224509,3.187750890963794e-9,4.302816084958785e-11,8.645065146636435e-10,2.1084668137212412e-8
"(21.000000000000004, 510.1118481127528)",92.99999996472583,9.541172505155818e-9,1.2878644463250042e-10,2.7044841992830046e-9,6.299100708407249e-8
"(22.000000000000004, 510.1118481127528)",92.99999990085897,2.593716423230749e-8,3.5009902315570674e-10,7.702237941268878e-9,1.7088742178315812e-7
"(23.0, 510.1118481127528)",92.9999997590221,6.483908179772526e-8,8.751958773742012e-10,2.0133506493978502e-8,4.2631427997403735e-7
"(24.0, 510.1118481127528)",92.99999945033161,1.5060584778736386e-7,2.0328729730806498e-9,4.8794907402383466e-8,9.881976818742533e-7
"(25.0, 510.1118481127528)",92.99999881559145,3.2788323428384664e-7,4.425757523019142e-9,1.106419392923434e-7,2.14698941007387e-6
"(26.0, 510.1118481127528)",92.99999756520269,6.740197071665545e-7,9.097896699468373e-9,2.3654338051042238e-7,4.404401518794303e-6
"(27.0, 510.1118481127528)",92.99999525639149,1.316540136267068e-6,1.7770617136590996e-8,4.798106729967757e-7,8.585191676653812e-6
"(28.0, 510.1118481127528)",92.9999911664648,2.456677902107407e-6,3.316016064949821e-8,9.284786314118311e-7,1.5986912201219484e-5
"(29.0, 510.1118481127528)",92.99998420673468,4.3998549270021376e-6,5.9389102707358415e-8,1.7222840283682832e-6,2.8572800911440406e-5
