T_mu,sigma,ω₀,n_B,P,e
"(1.0, 830.0419430422824)",92.9999999967539,3.4152226352788968e-49,4.609861290065736e-51,3.971889227456797e-12,-3.971889227456797e-12
"(2.0, 830.0419430422824)",92.99999999386166,4.372282883029373e-25,5.9016963630815526e-27,3.971889227456797e-12,-3.9718892274518985e-12
"(3.0, 830.0419430422824)",92.99999999998788,0.0,8.378260225956084e-19,1.9859446137283985e-12,-1.985249182988672e-12
"(4.0, 830.0419430422824)",92.99999999998788,0.0,1.1346500887146377e-14,1.9859446137283985e-12,7.43212702936956e-12
"(5.0, 830.0419430422824)",92.99999999387622,2.733948813652857e-10,3.69027568384495e-12,2.2465998442802507e-11,3.0406176005375473e-9
"(6.000000000000001, 830.0419430422824)",92.99999994938676,1.3606233485779807e-8,1.836565090780882e-10,1.105922906770002e-9,1.5133668274076892e-7
"(7.0, 830.0419430422824)",92.99999914005902,2.2997395421884063e-7,3.104181267362023e-9,2.1731198935723e-8,2.5548694517809052e-6
"(8.0, 830.0419430422824)",92.99999269407962,1.970268009172799e-6,2.659461524970193e-8,2.127569771425672e-7,2.1861889139181935e-5
"(9.0, 830.0419430422824)",92.99996039038139,1.0698917905569724e-5,1.4441365538959156e-7,1.299716222917615e-6,0.00011856967489849756
"(10.0, 830.0419430422824)",92.99984425873905,4.213366711080803e-5,5.68718906654912e-7,5.6870288200771925e-6,0.00046637351750464836
"(11.000000000000002, 830.0419430422824)",92.99951596323882,0.00013116033256549523,1.7703980190319204e-6,1.947280059449259e-5,0.0014500318110809702
"(12.0, 830.0419430422824)",92.99874022159536,0.00034191999893241096,4.615225326945653e-6,5.5371944624273804e-5,0.0037754586533316485
"(13.0, 830.0419430422824)",92.99714185680743,0.0007770357019905362,1.0488403319388023e-5,0.0001362937246724383,0.00856952094596352
"(14.0, 830.0419430422824)",92.99418206726394,0.0015844822878979584,2.138729179466191e-5,0.0002991915423334388,0.017453157695319996
"(15.0, 830.0419430422824)",92.98914623158157,0.0029615208327413195,3.997451449538282e-5,0.0005988139195873906,0.03258170976433204
"(16.0, 830.0419430422824)",92.98114259325676,0.0051559516143373655,6.95948717531793e-5,0.0011110881134999942,0.05665557446228741
"(17.0, 830.0419430422824)",92.96910945083972,0.008465443907280908,0.00011426629400652376,0.0019359992714496452,0.09290981742996604
"(18.0, 830.0419430422824)",92.95182789507187,0.013235880664189138,0.00017865749841097054,0.003199946418414618,0.14509327070170086
"(19.0, 830.0419430422824)",92.92793739185231,0.01985959463894803,0.00026806418006209597,0.005057640993585904,0.2174468718851925
"(20.0, 830.0419430422824)",92.89595214947065,0.028774221160507582,0.00038839352678334585,0.007693669989606863,0.3146892476466862
"(21.000000000000004, 830.0419430422824)",92.85427694824021,0.04046255034428038,0.0005461622242771049,0.011323837212150908,0.442013716643112
"(22.000000000000004, 830.0419430422824)",92.80122176598778,0.055453776154843704,0.0007485133159528965,0.016196445596042452,0.6051010015705216
"(23.0, 830.0419430422824)",92.73501500467805,0.07432606530307798,0.0010032508803256694,0.022593598633115823,0.810146711431283
"(24.0, 830.0419430422824)",92.65381545867912,0.09771045458122853,0.0013188926242974,0.030832626355417357,1.0639035701805313
"(25.0, 830.0419430422824)",92.55572319489505,0.12629585192155232,0.0017047374131277072,0.04126768544739651,1.3737358693219996
