T_mu,sigma,ω₀,n_B,P,e
"(17.0, 1150.0237140143317)",44.70027583222596,53.67174258641742,0.7244595077139904,110.52718721645856,722.618426497779
"(18.0, 1150.0237140143317)",44.69955961713946,53.718131031661706,0.7250856426114987,111.06806079617073,722.7976228983733
"(19.0, 1150.0237140143317)",44.69977769367434,53.76313552548067,0.7256931014440172,111.63859061152323,722.9256851457046
"(20.0, 1150.0237140143317)",44.6964428540018,53.82033267401945,0.7264651287638084,112.23855906429102,723.2135664185637
"(21.0, 1150.0237140143317)",44.693776522249294,53.87633998890349,0.7272211364957102,112.86779678858454,723.4537555139354
"(22.0, 1150.0237140143317)",44.69017513241126,53.93575702699363,0.7280231360120922,113.5261038982222,723.7177668667651
"(23.0, 1150.0237140143317)",44.685475935782165,53.9986908888377,0.7288726007050373,114.21329662030853,724.0074786857836
"(24.0, 1150.0237140143317)",44.67952533263032,54.065255968872776,0.7297702885358383,114.92919979133742,724.3239378079578
"(25.0, 1150.0237140143317)",44.67209447009009,54.1355457809392,0.7307198885271907,115.67364753337405,724.6715525748042
"(26.0, 1150.0237140143317)",44.66305399824701,54.209687105496855,0.7317206413726227,116.44648766088902,725.0496019514034
"(27.0, 1150.0237140143317)",44.65162448103992,54.289535521046986,0.7327984312705526,117.24757836919424,725.4879951844428
"(28.0, 1150.0237140143317)",44.639359866267995,54.36992102689169,0.7338835040763478,118.07678860677082,725.9066444049627
"(29.0, 1150.0237140143317)",44.624322856146,54.45625817623965,0.7350489044093557,118.93400801023228,726.3896630207805
"(30.0, 1150.0237140143317)",44.60692898915486,54.5468406721239,0.7362714771524685,119.81913527573907,726.910523401961
"(31.0, 1150.0237140143317)",44.58679099603921,54.642373932619435,0.7375610219304575,120.73208574602491,727.4805800066457
"(32.0, 1150.0237140143317)",44.56432515876519,54.741171567963775,0.738894612968608,121.67278734707914,728.0735397242618
"(33.0, 1150.0237140143317)",44.538770288742725,54.84509836897466,0.7402974091449357,122.64118548053695,728.7183904595092
"(34.0, 1150.0237140143317)",44.51015715538282,54.95364298276879,0.7417625050152677,123.63723171520624,729.4072392190263
"(35.0, 1150.0237140143317)",44.47832342254189,55.06688216777334,0.7432910554965976,124.66091419747616,730.1414260383539
"(36.0, 1150.0237140143317)",44.44312342719966,55.18489023726675,0.7448835975737834,125.71220166588427,730.921599724275
"(37.0, 1150.0237140143317)",44.40438655235338,55.30772678707231,0.7465419859425065,126.79109836268086,731.7498889785554
"(38.0, 1150.0237140143317)",44.36199380390797,55.43546182157193,0.7482660995985457,127.89761195691425,732.6261469744231
"(39.0, 1150.0237140143317)",44.31580245701479,55.5681485168003,0.7500571357835073,129.03177541756057,733.5517175991405
"(40.0, 1150.0237140143317)",44.265685811478484,55.70584069080436,0.7519156683416868,130.19361507436082,734.5272344575143
"(41.0, 1150.0237140143317)",44.21152044150077,55.848585203985806,0.7538424738248142,131.38318023798496,735.5535412917795
"(42.0, 1150.0237140143317)",44.15319120066921,55.996426752812134,0.7558380154092937,132.60047978652858,736.6311618876891
"(43.0, 1150.0237140143317)",44.09059139407541,56.14940364209269,0.7579028781647277,133.84573333028072,737.7605494788709
"(44.0, 1150.0237140143317)",44.023615075231085,56.30755069416701,0.7600375627911196,135.11886496043925,738.942355791005
"(45.0, 1150.0237140143317)",43.95217019130274,56.470899713161,0.7622423951352866,136.4200039282528,740.1768263044092
"(46.0, 1150.0237140143317)",43.87403773125651,56.64607616773839,0.7646069628430904,137.74929055935542,741.5668486106736
"(47.0, 1150.0237140143317)",43.7955139714075,56.8133068650211,0.7668642160721756,139.10675631739403,742.8052775946184
"(47.99999999999999, 1150.0237140143317)",43.71014119889879,56.99240847379221,0.7692817089493145,140.49256831493395,744.199639734249
"(49.0, 1150.0237140143317)",43.619971640956486,57.176799116155934,0.7717705985839568,141.90683128986495,745.647658860721
"(50.0, 1150.0237140143317)",43.5249399983974,57.36648989376322,0.7743310756012465,143.34967238245036,747.1494270572074
"(51.0, 1150.0237140143317)",43.429806776966835,57.545962120299585,0.7767535758957932,144.82130941360492,748.4637228119883
"(52.0, 1150.0237140143317)",43.32005183418942,57.761811084048624,0.7796670859829123,146.32163486135968,750.3140030554406
"(53.0, 1150.0237140143317)",43.21008648796006,57.967450445988966,0.7824428711818273,147.85104237371303,751.9768143468493
"(54.0, 1150.0237140143317)",43.09505048294612,58.17841096573048,0.7852902735230378,149.4095997645427,753.6928371717516
"(55.0, 1150.0237140143317)",42.97489509568483,58.39468799878355,0.7882096770244967,150.99746058409335,755.4623596096552
"(56.0, 1150.0237140143317)",42.84959233239342,58.61627726238231,0.7912006287264584,152.6147941660669,757.2846914124091
"(57.0, 1150.0237140143317)",42.719107634800125,58.84316788955741,0.7942633251199559,154.26175656785517,759.1599024919692
"(58.0, 1150.0237140143317)",42.58342550488328,59.0753520059425,0.7973971270318346,155.93851755875042,761.0870880147579
"(59.0, 1150.0237140143317)",42.442513688746175,59.3128101544376,0.8006024132702628,157.64525147759028,763.0665092803143
"(59.99999999999999, 1150.0237140143317)",42.29636619291366,59.55552659937788,0.8038786433538724,159.38213021570218,765.0973728309206
"(61.0, 1150.0237140143317)",42.14497475383678,59.80348184769804,0.8072254307052681,161.14933089917076,767.1790569673201
"(61.99999999999999, 1150.0237140143317)",41.988328403701885,60.05664861278294,0.8106428246264453,162.9470318512802,769.311440064693
"(63.0, 1150.0237140143317)",41.8264360316151,60.31500563955843,0.8141300027502325,164.77541292316874,771.4933965301517
"(64.0, 1150.0237140143317)",41.65938262591991,60.57818358193008,0.8176824054020019,166.63465609946593,773.7195006451168
"(65.0, 1150.0237140143317)",41.48692860085075,60.84715720555973,0.8213130151578197,168.52494211619873,776.0045019439062
"(66.0, 1150.0237140143317)",41.30934271277161,61.12088569220724,0.8250077734864006,170.44645486631796,778.3320488892069
"(67.0, 1150.0237140143317)",41.1265647367172,61.399666816310855,0.8287705844836974,172.3993746401939,780.7064509935763
"(68.0, 1150.0237140143317)",40.93860877486637,61.68345573477787,0.8326013112485119,174.3838856255057,783.1273666297105
"(69.0, 1150.0237140143317)",40.74553873784554,61.9722157638571,0.8364982997314071,176.40016507403064,785.5927163497558
"(70.0, 1150.0237140143317)",40.54732746724639,62.26588480959212,0.8404629589487185,178.44840147694634,788.1039320647337
"(71.0, 1150.0237140143317)",40.34407447343418,62.56442659382481,0.844492628311376,180.52876180763076,790.6577870607423
"(72.0, 1150.0237140143317)",40.13580680400432,62.86778198089701,0.8485873058289978,182.64143626125238,793.2540888536272
"(73.0, 1150.0237140143317)",39.922572028286055,63.1758950180374,0.8527462871934908,184.7865871784764,795.8918651317139
"(74.0, 1150.0237140143317)",39.704426744364916,63.48870673462202,0.8569687101614301,186.9643900653046,798.5699487886146
"(74.99999999999999, 1150.0237140143317)",39.48280274807974,63.797315079325436,0.8611341403385795,189.17505292910494,801.1496294076071
"(76.0, 1150.0237140143317)",39.25367813392381,64.12817598659258,0.8655997059282121,191.41863726569622,804.0415513955795
"(77.0, 1150.0237140143317)",39.02117873134655,64.45469597908323,0.8700074247630109,193.6954057165153,806.8337641294868
"(78.0, 1150.0237140143317)",38.7840463153467,64.78564983027063,0.8744746530326132,196.00548480026575,809.6611034916942
"(78.99999999999999, 1150.0237140143317)",38.54236068801471,65.12096399613476,0.8790004230129973,198.34902881457148,812.5223022790044
"(80.0, 1150.0237140143317)",38.29617526461742,65.46055711676563,0.8835845477259312,200.72618986054016,815.4169933609087
"(81.0, 1150.0237140143317)",38.04562686229595,65.80403135641708,0.8882207333279102,203.13711486729875,818.3377917389979
