T_mu,sigma,ω₀,n_B,P,e
"(17.0, 935.0047428028663)",63.97940582746219,16.870432967189508,0.22771613360156764,5.134314278917045,207.78135065127984
"(18.0, 935.0047428028663)",63.853466800631,17.026869713852168,0.22982761836277374,5.469816290350649,209.42009690592994
"(19.0, 935.0047428028663)",63.72249753858545,17.19050217692527,0.23203642021770213,5.821772603145371,211.133380803405
"(20.0, 935.0047428028663)",63.586920841560996,17.360913725552084,0.23433742540264682,6.190001580831694,212.916602586856
"(21.0, 935.0047428028663)",63.44722296620107,17.537716515340836,0.23672308347203017,6.5743410119726455,214.76286476529438
"(22.0, 935.0047428028663)",63.30406619275667,17.72033062030746,0.23918850956949722,6.974652194746816,216.66773867668184
"(23.0, 935.0047428028663)",63.157758425901996,17.90846547332276,0.2417279510004469,7.390813362761342,218.62596729067536
"(24.0, 935.0047428028663)",63.0087545492905,18.1017017700177,0.24433682770475673,7.822720816375294,220.63337192897902
"(25.0, 935.0047428028663)",62.85747248836186,18.29970962906546,0.24700886496454177,8.270285685432581,222.68417457076674
"(26.0, 935.0047428028663)",62.70435971576785,18.502194949261995,0.24973675319397592,8.733433538542622,224.77161515001376
"(27.0, 935.0047428028663)",62.54940156316172,18.708778809437465,0.25252631883264687,9.212101722016586,226.901204069057
"(28.0, 935.0047428028663)",62.393123354127994,18.919142954411164,0.25536998043488773,9.70624150103083,229.06590137506436
"(29.0, 935.0047428028663)",62.23580441419744,19.133186215159906,0.2582591354911527,10.215810760287601,231.25770579610824
"(30.0, 935.0047428028663)",62.07761222079418,19.350619468746515,0.2611940371604665,10.740780605165343,233.47688293169898
"(31.0, 935.0047428028663)",61.918809086132406,19.57128202007534,0.2641692136512656,11.281129624800593,235.71833804163646
"(32.0, 935.0047428028663)",61.759382493465914,19.79485429163037,0.2671903214866303,11.836846095447232,237.98737172557472
"(33.0, 935.0047428028663)",61.599416103940875,20.021418497089538,0.27024869045572886,12.407925526824165,240.27588178554603
"(34.0, 935.0047428028663)",61.439584198063415,20.250516339932506,0.2733406617280853,12.994370181686277,242.58044493494742
"(35.0, 935.0047428028663)",61.279401382489645,20.48224875199416,0.276469589003558,13.596195635864197,244.9041813232217
"(36.0, 935.0047428028663)",61.119381807540904,20.716374384362354,0.2796289812262661,14.213416349815656,247.2410073218768
"(37.0, 935.0047428028663)",60.959129537475185,20.95295553386845,0.2828219590152419,14.846061666973283,249.59381138107574
"(38.0, 935.0047428028663)",60.79901585976743,21.19174738804928,0.2860456666267533,15.494162824564372,251.95989212965753
"(39.0, 935.0047428028663)",60.63900367272138,21.432772012907417,0.28929771984462377,16.157761563690528,254.33697857308758
"(40.0, 935.0047428028663)",60.478968538274344,21.675948582994284,0.2925806017513113,16.836909186164583,256.7273411034281
"(41.0, 935.0047428028663)",60.31896292044678,21.92123706745515,0.2958923467712189,17.531656114126676,259.12909147603335
"(42.0, 935.0047428028663)",60.15897436846889,22.168586172031787,0.2992328057024344,18.242066342617694,261.54202619136703
"(43.0, 935.0047428028663)",59.99919634271779,22.41797095552473,0.30259732459726035,18.968211018813026,263.96172263908386
"(44.0, 935.0047428028663)",59.83937071659764,22.669365746162217,0.30599008082852064,19.71016546693157,266.39201135836765
