T_mu,sigma,ω₀,n_B,P,e
"(17.0, 890.0071142042996)",91.72837172928377,0.37294817395515295,0.005035272744965508,0.07467252627920389,4.406756038699109
"(18.0, 890.0071142042996)",91.30004625480015,0.5098391597119445,0.006881792872871542,0.10442087812642582,6.020423737209692
"(19.0, 890.0071142042996)",90.76334063165618,0.6882654601778233,0.00929018611436474,0.1430315451579751,8.125300188908643
"(20.0, 890.0071142042996)",90.09259947281525,0.9212596569558026,0.012435146138353297,0.19258461060524495,10.874783918699311
"(21.0, 890.0071142042996)",89.25334827935382,1.226953344389755,0.016561550875784842,0.2556485810600483,14.48424952064491
"(22.0, 890.0071142042996)",88.19776885990376,1.6313594496672985,0.022020289315067748,0.3354336846425137,19.262780462604702
"(23.0, 890.0071142042996)",86.85988596888629,2.171713881446751,0.029317606803128202,0.43599187745976975,25.656886748768706
"(24.0, 890.0071142042996)",85.16120121635318,2.8974468029754576,0.03911613537105201,0.5623907465942681,34.25124801382046
"(25.0, 890.0071142042996)",83.08157557424263,3.8416243130865806,0.05185538773159539,0.7203992144356111,45.431264776506644
"(26.0, 890.0071142042996)",80.83250610538396,4.9316646480610755,0.06656745348503124,0.9143998221709093,58.33110735397069
"(27.0, 890.0071142042996)",78.80402991604777,5.984858577663173,0.08078348853003572,1.1441111664535986,70.75376833551962
"(28.0, 890.0071142042996)",77.15134188942986,6.902006904795366,0.09316307270932427,1.4054195095521185,81.51037798287891
"(29.0, 890.0071142042996)",75.81513391478006,7.689861997627125,0.10379751696436039,1.6939933022226408,90.68653523279959
"(30.0, 890.0071142042996)",74.70115694227412,8.381558961843758,0.11316131547705581,2.006658450184029,98.70771737711274
"(31.0, 890.0071142042996)",73.76189482925506,8.997828576312083,0.12145224680565142,2.3412504997533268,105.75211319337285
"(32.0, 890.0071142042996)",72.93669897061022,9.562382188550231,0.1290695591259043,2.696277126640824,112.17654872262646
"(33.0, 890.0071142042996)",72.20120949103311,10.086398964676047,0.13614545148881438,3.0706777384234965,118.09974265317766
"(34.0, 890.0071142042996)",71.53611677170406,10.578605216537255,0.14279457278903268,3.4636771237618524,123.62450852824094
"(35.0, 890.0071142042996)",70.92923343475313,11.044879339753866,0.14908497684703614,3.874692580949971,128.8119974338955
"(36.0, 890.0071142042996)",70.36820715368239,11.490544038434647,0.1551001914809631,4.303285872688665,133.73698795981758
"(37.0, 890.0071142042996)",69.84599084009947,11.918995595936087,0.16088225681226645,4.749106113955025,138.43724699820527
"(38.0, 890.0071142042996)",69.35629704502668,12.333113664550897,0.16647205471074336,5.2118925484738865,142.9494204602951
"(39.0, 890.0071142042996)",68.89394753352217,12.735200570547914,0.17190504200179868,5.6914291859038935,147.30528116328588
"(40.0, 890.0071142042996)",68.45739096739406,13.126546411825508,0.1771817349061693,6.187551845332526,151.50545272821844
"(41.0, 890.0071142042996)",68.04131393619912,13.509112396413512,0.18234576147125003,6.7001343930818305,155.58889056133094
"(42.0, 890.0071142042996)",67.64396362773518,13.883944008348953,0.18740500319901338,7.229077448296096,159.56270863630533
"(43.0, 890.0071142042996)",67.26322809390221,14.252039415301956,0.1923734178305705,7.774310506468366,163.43939994653562
"(44.0, 890.0071142042996)",66.89734919018078,14.614239523783315,0.19726250853150026,8.335781217704785,167.2292547411168
"(45.0, 890.0071142042996)",66.5449484280876,14.971386357293431,0.2020778262454675,8.913462537757157,170.93724044364924
