T_mu,sigma,ω₀,n_B,P,e
"(17.0, 860.0071142042996)",92.81558804261965,0.05100180843254873,0.0006884209166700727,0.01147081909362943,0.5805760668096784
"(17.1, 860.0071142042996)",92.80866626785284,0.05294602461377379,0.0007146637847795192,0.01197063258977258,0.6026453065847843
"(17.2, 860.0071142042996)",92.8015546126831,0.054945531492432385,0.0007416530824323956,0.012487362788492952,0.6253395643749151
"(17.3, 860.0071142042996)",92.79425002545238,0.05700138386172432,0.000769402938029024,0.01302141434425146,0.6486705860503991
"(17.4, 860.0071142042996)",92.7867491316625,0.059114635729705524,0.0007979277190481328,0.013573197584359806,0.672650317417844
"(17.5, 860.0071142042996)",92.77904904153915,0.06128637460671173,0.000827241823427609,0.014143128508980482,0.6972907248061004
"(17.6, 860.0071142042996)",92.77114647116281,0.06351768475148455,0.0008573599120315405,0.014731628871929891,0.7226039949087675
"(17.7, 860.0071142042996)",92.76303776927618,0.06580964708262835,0.0008882969194146718,0.015339126171741595,0.7486025440506395
"(17.8, 860.0071142042996)",92.75472004334566,0.06816338978094903,0.0009200677306505822,0.0159660537005702,0.7752987402087358
"(17.9, 860.0071142042996)",92.74618986419911,0.07058003096074503,0.0009526875543704395,0.016612850608486315,0.8027052237639872
"(18.0, 860.0071142042996)",92.73744391552464,0.07306070774846556,0.0009861717400974368,0.017279961906827842,0.8308347504042012
"(18.1, 860.0071142042996)",92.72847885931473,0.07560657048622266,0.0010205358198954319,0.01796783852045512,0.859700226889934
"(18.2, 860.0071142042996)",92.71929100636751,0.07821876661812664,0.0010557956241184683,0.018676937333924167,0.8893148105537271
"(18.3, 860.0071142042996)",92.70987800083812,0.0808985247503619,0.0010919667092092295,0.019407721248830806,0.9196914171453642
"(18.4, 860.0071142042996)",92.70023543612987,0.0836469863057572,0.0011290655165611529,0.0201606591776046,0.9508437174677393
"(18.5, 860.0071142042996)",92.69036024391153,0.08646537469919988,0.0011671082185064144,0.02093622612456022,0.9827851448372624
"(18.6, 860.0071142042996)",92.680248997362,0.08935491090310425,0.0012061113011333357,0.021734903252426573,1.0155293962444463
"(18.7, 860.0071142042996)",92.66989825540313,0.09231683105433931,0.0012460914498691634,0.022557177849206377,1.0490903339874245
"(18.8, 860.0071142042996)",92.659302785263,0.09535228425667946,0.0012870662731418144,0.02340354346160679,1.083482607892768
"(18.9, 860.0071142042996)",92.64846227292642,0.09846271619219975,0.001329051610883538,0.0242744998885851,1.118719340615942
"(19.0, 860.0071142042996)",92.63737177752412,0.1016493276054289,0.00137206534340989,0.0251705532399341,1.1548154032457365
"(19.1, 860.0071142042996)",92.62602777966683,0.10491341602706666,0.0014161249988840971,0.026092216005541888,1.1917853576373376
"(19.2, 860.0071142042996)",92.6144302809513,0.1082565189559016,0.001461246723004521,0.027040007090642398,1.2296425703009652
"(19.3, 860.0071142042996)",92.60256921584471,0.11167956100192827,0.0015074513797495963,0.02801445184461159,1.2684044590571284
"(19.4, 860.0071142042996)",92.59043930159851,0.11518376248287786,0.0015547580911690058,0.02901608216907732,1.3080869371029646
