T_mu,sigma,ω₀,n_B,P,e
"(1.0, 980.014228408599)",57.1898493338337,25.321605933451746,0.3417902764848837,14.841335301202118,320.11799878569286
"(2.0, 980.014228408599)",57.1878302960639,25.327970395232708,0.3418761459792347,14.877930927618138,320.16555648552713
"(3.0, 980.014228408599)",57.18423202262845,25.33863290959971,0.3420240086717974,14.93888717038181,320.24950778532565
"(4.0, 980.014228408599)",57.17965395299871,25.353530819792933,0.34222119271656765,15.024148691181221,320.35748943401626
"(5.0, 980.014228408599)",57.17341685853569,25.37281324505669,0.34248145655160994,15.133636105230856,320.50306428144825
"(6.0, 980.014228408599)",57.16565621363721,25.39652281836305,0.34280145745876545,15.267244017873145,320.683061810922
"(7.0, 980.014228408599)",57.15555452142932,25.425872388967317,0.34319762198828213,15.424837640393932,320.91371506411843
"(8.0, 980.014228408599)",57.14517216859768,25.45764608676523,0.34362649554103514,15.60624722418853,321.1526076642099
"(9.0, 980.014228408599)",57.132182799655794,25.49534500228875,0.34413537049341,15.81126816399137,321.44629141821514
"(10.0, 980.014228408599)",57.11715436947353,25.538024586574647,0.344711438135708,16.03965857423701,321.7824554939474
"(11.0, 980.014228408599)",57.09991598600116,25.585860179547566,0.3453571662508761,16.29114341668156,322.163793392051
"(12.0, 980.014228408599)",57.0803180477019,25.63901522940436,0.34607455136340376,16.565420866469907,322.5925635597883
"(13.0, 980.014228408599)",57.058188564552594,25.697638849630508,0.3468660609731533,16.862167746910202,323.0715073588247
"(14.0, 980.014228408599)",57.03344258051351,25.76184239280807,0.3477325486906977,17.181048089990306,323.6017973076794
"(15.0, 980.014228408599)",57.005952108915096,25.831717303316232,0.34867571725568586,17.521719236608533,324.1854447745373
"(16.0, 980.014228408599)",56.97565193176193,25.90731860905904,0.3496961739419693,17.88383726172642,324.8233888214519
"(17.0, 980.014228408599)",56.9424949703929,25.98867084469836,0.35079423722459663,18.26706385559753,325.51627986824855
"(1.0, 980.1279747111489)",57.1759207907058,25.34303022417389,0.34207924527113,14.88022912549837,320.4012087328126
"(2.0, 980.1279747111489)",57.173897974451314,25.349390868638334,0.3421652781363153,14.916834501939634,320.4489265742841
"(3.0, 980.1279747111489)",57.17051939051824,25.360011940781806,0.34230867286038863,14.977807104333772,320.52849915238016
"(4.0, 980.1279747111489)",57.165747911098286,25.37492934207137,0.34250997735024485,15.06309143595839,320.6405189826986
"(5.0, 980.1279747111489)",57.15952432616275,25.394196531893087,0.34277005572229285,15.17260843176741,320.78591207495117
"(6.0, 980.1279747111489)",57.151790326300194,25.417885021582265,0.34308969137097717,15.306252863682559,320.9655514840264
"(7.0, 980.1279747111489)",57.14244781738122,25.446077446695913,0.34347033920908276,15.463889456247939,321.18099848610166
"(8.0, 980.1279747111489)",57.13135718476197,25.478955855267092,0.3439141345568999,15.645349835306801,321.434514342485
"(9.0, 980.1279747111489)",57.11840613850599,25.516620410607224,0.3444224918163729,15.850428357804333,321.7276909911445
"(10.0, 980.1279747111489)",57.103414470287355,25.55926231936044,0.34499815048193666,16.07888449722439,322.0634540137284
"(11.0, 980.1279747111489)",57.08623579800019,25.607051483524845,0.34564300897289296,16.33044278131649,322.44393957635253
"(12.0, 980.1279747111489)",57.06667553251366,25.660159663408965,0.3463600474501309,16.60480172795474,322.8723701001995
"(13.0, 980.1279747111489)",57.0446174630723,25.718725876317492,0.34715057140243144,16.90163590423375,323.3503505642494
"(14.0, 980.1279747111489)",57.019930188376115,25.78286961305129,0.34801634884965466,17.220617376616175,323.8799417877645
"(15.0, 980.1279747111489)",56.992524969875674,25.852677309617075,0.3489583138260629,17.561395800677936,324.4624095882786
"(16.0, 980.1279747111489)",56.96228547880695,25.928209417378625,0.34997819479775377,17.92362736962655,325.0997918905598
"(17.0, 980.1279747111489)",56.92921267836647,26.00948575248588,0.3510751919434307,18.30698103004927,325.7916358207934
"(1.0, 980.3550358375622)",57.14814392503044,25.385775377244755,0.34265625997019045,14.957967580102942,320.96682244293817
"(2.0, 980.3550358375622)",57.146135746650266,25.39212431743868,0.34274208047070187,14.994592451834505,321.01433213106105
"(3.0, 980.3550358375622)",57.142775918233816,25.40272832414959,0.34288523658882536,15.05559754854833,321.09367085566055
"(4.0, 980.3550358375622)",57.13802815247017,25.417621275895886,0.3430862651208131,15.140927404473844,321.20542033341627
"(5.0, 980.3550358375622)",57.13184091109355,25.4368561088602,0.3433458238056109,15.250503651870705,321.3503037497563
"(6.0, 980.3550358375622)",57.124142353251344,25.460505365437623,0.3436650999580419,15.384220549677,321.52959083580856
"(7.0, 980.3550358375622)",57.11484473478537,25.48866736203633,0.3440452190696372,15.541943502559555,321.7445195681966
"(8.0, 980.3550358375622)",57.103827581173576,25.521469977401136,0.3444879869628549,15.72350404712097,321.9970287574583
"(9.0, 980.3550358375622)",57.09094874123797,25.559067617833175,0.3449954320372604,15.928698690824287,322.2893104478594
"(10.0, 980.3550358375622)",57.07603967139142,25.60163237736872,0.34557000131448135,16.157285039655456,322.62400598338934
"(11.0, 980.3550358375622)",57.05894347325831,25.649335933284938,0.3462139121912616,16.40898978539222,323.0035625083346
"(12.0, 980.3550358375622)",57.039497870938646,25.702343266416182,0.34692941972145264,16.68351117022769,323.4304925339017
