T_mu,sigma,ω₀,n_B,P,e
"(1.0, 1090.0142284085991)",47.954813132389795,43.93790934709836,0.5930725088187645,66.63126911085747,579.8262039795802
"(2.0, 1090.0142284085991)",47.95471832915588,43.94207793853932,0.5931287899916561,66.67525148927962,579.8435688804014
"(3.0, 1090.0142284085991)",47.95456376522548,43.94903292160653,0.5932223578350199,66.74853583460346,579.8722748156655
"(4.0, 1090.0142284085991)",47.95431817836921,43.958779237432445,0.5933542173748264,66.85110955322958,579.9134298715801
"(5.0, 1090.0142284085991)",47.953769226840194,43.9719164934304,0.5935315379693189,66.98287986357782,579.9749415322185
"(6.000000000000001, 1090.0142284085991)",47.953571672430876,43.98670902505154,0.5937311881120411,67.14384296274874,580.0315999293185
"(7.0, 1090.0142284085991)",47.953097418336824,44.00476043095801,0.5939748639841544,67.33391451173246,580.1071385480584
"(8.0, 1090.0142284085991)",47.95235559629508,44.0260201597737,0.5942617923124812,67.553012501782,580.2007965184183
"(9.0, 1090.0142284085991)",47.95151258782817,44.05001455839766,0.5945857203084892,67.80103962863596,580.305855516193
"(10.0, 1090.0142284085991)",47.950470150614365,44.076951571789216,0.5949494560661125,68.0778818091956,580.4254904868237
"(11.000000000000002, 1090.0142284085991)",47.94920166235597,44.10688194669988,0.5953532986344281,68.38340653378553,580.5601599077348
"(12.0, 1090.0142284085991)",47.94754956612823,44.140119628539274,0.5958019386295385,68.71746153043874,580.7151288891853
"(13.0, 1090.0142284085991)",47.94577292823791,44.17594369646391,0.5962855208575859,69.07987463116645,580.8798272976346
"(14.0, 1090.0142284085991)",47.94351623357701,44.21520489689207,0.5968154126323363,69.47045451870564,581.0668369840901
"(15.0, 1090.0142284085991)",47.94081779154662,44.2577106380979,0.5973891483055149,69.88899061361906,581.273680936287
"(16.0, 1090.0142284085991)",47.93761833346945,44.30353131105927,0.5980076667261505,70.33525967162348,581.5016057573081
"(17.0, 1090.0142284085991)",47.9338513745557,44.352738674337864,0.5986718686951988,70.80902031043317,581.7518347152982
"(18.0, 1090.0142284085991)",47.92944807961179,44.40540261832268,0.5993827270975407,71.31002403590495,582.0256767627628
"(19.0, 1090.0142284085991)",47.92433012428283,44.46159077696631,0.6001412850324205,71.83801450651839,582.3245252342406
"(20.0, 1090.0142284085991)",47.918426943712376,44.5213733018551,0.6009481116275057,72.39273133921938,582.6492608700408
"(21.000000000000004, 1090.0142284085991)",47.91164638305816,44.584813256497974,0.6018044129348226,72.97391430692682,583.0014585111138
"(22.000000000000004, 1090.0142284085991)",47.903899437796774,44.65197568107995,0.6027109611947057,73.58130477555015,583.3822185445022
"(23.0, 1090.0142284085991)",47.89509048135778,44.72292301862957,0.6036685979233335,74.21465032484764,583.7927106550555
"(24.0, 1090.0142284085991)",47.88511724044202,44.79771675190888,0.6046781462829915,74.87370605426646,584.2340770019306
"(25.0, 1090.0142284085991)",47.873873088765485,44.87641752497452,0.6057404339384221,75.5582367460825,584.7074549691966
"(26.0, 1090.0142284085991)",47.861243322381696,44.95908345903637,0.6068562780821893,76.26801406266733,585.2139636460046
"(27.0, 1090.0142284085991)",47.847112857123676,45.04577301799027,0.6080264426036318,77.00284389472837,585.7546297918948
"(28.0, 1090.0142284085991)",47.83136390222215,45.13654459993986,0.6092514794899915,77.76251204166871,586.3302692814118
"(29.0, 1090.0142284085991)",47.813859327016104,45.23144975718387,0.6105326554814549,78.5468554332397,586.9424259496315
"(30.0, 1090.0142284085991)",47.79448455583337,45.33054536951631,0.6118702201477572,79.35569071216148,587.5915551883958
"(31.0, 1090.0142284085991)",47.773106219826964,45.4338830553394,0.6132651462209701,80.18889797568448,588.2788371922528
"(32.0, 1090.0142284085991)",47.7496025208051,45.54151477131572,0.6147177855051619,81.04632513361476,589.004807522837
"(33.0, 1090.0142284085991)",47.72382793586949,45.653486509526346,0.6162293768864512,81.92786644754592,589.770922322051
"(34.0, 1090.0142284085991)",47.695670798545706,45.769848251801925,0.6177999230679254,82.83342516267086,590.5772812911058
"(35.0, 1090.0142284085991)",47.66499459283771,45.890642881473994,0.6194305015447639,83.76292535033193,591.4251348437353
"(36.0, 1090.0142284085991)",47.63167823188124,46.015914454832746,0.6211213526961572,84.71630128805229,592.3148107191549
"(37.0, 1090.0142284085991)",47.595596155799534,46.145702509580374,0.6228732311836506,85.69350750895315,593.2471769760647
"(38.0, 1090.0142284085991)",47.55662925818473,46.280045796646,0.6246865370804241,86.6945134188634,594.2227002940949
"(39.0, 1090.0142284085991)",47.51465908539193,46.418979137548,0.6265618923800546,87.71930270285905,595.2420749700177
